cell_id,cycle,scenario,count
b1c0,149,charge-high,369
b1c2,152,charge-high,90
b1c9,143,charge-high,65
b1c13,641,charge-high,396
b1c18,41,charge-high,363
b1c18,42,charge-high,371
b1c18,43,charge-high,363
b1c18,44,charge-high,358
b1c18,45,charge-high,364
b1c18,46,charge-high,353
b1c18,47,charge-high,359
b1c18,48,charge-high,359
b1c20,165,charge-high,97
b1c22,142,charge-high,68
b1c30,695,charge-high,44
b1c35,144,charge-high,59
b1c37,141,charge-high,355
b1c44,145,charge-high,46
b1c45,147,charge-high,94
b2c0,249,charge-high,246
b2c0,306,charge-high,217
b2c0,309,charge-high,223
b2c0,310,charge-high,219
b2c0,312,charge-high,218
b2c0,316,charge-high,211
b2c0,318,charge-high,225
b2c0,319,charge-high,212
b2c0,321,charge-high,215
b2c0,322,charge-high,215
b2c0,323,charge-high,220
b2c0,325,charge-high,210
b2c1,168,charge-high,216
b2c3,1,charge-high,304
b2c3,2,charge-high,278
b2c3,3,charge-high,251
b2c3,4,charge-high,243
b2c3,5,charge-high,247
b2c3,7,charge-high,213
b2c3,8,charge-high,212
b2c3,9,charge-high,235
b2c3,10,charge-high,214
b2c3,12,charge-high,241
b2c3,13,charge-high,491
b2c3,14,charge-high,284
b2c3,15,charge-high,313
b2c3,16,charge-high,281
b2c3,17,charge-high,264
b2c3,18,charge-high,297
b2c3,19,charge-high,235
b2c3,20,charge-high,279
b2c3,21,charge-high,256
b2c3,22,charge-high,263
b2c3,23,charge-high,239
b2c3,24,charge-high,215
b2c3,25,charge-high,242
b2c3,26,charge-high,385
b2c3,27,charge-high,942
b2c3,28,charge-high,633
b2c3,30,charge-high,282
b2c3,31,charge-high,329
b2c3,32,charge-high,294
b2c3,35,charge-high,268
b2c3,37,charge-high,231
b2c3,39,charge-high,243
b2c3,40,charge-high,404
b2c3,58,charge-high,214
b2c3,61,charge-high,265
b2c3,62,charge-high,234
b2c3,63,charge-high,274
b2c3,64,charge-high,243
b2c3,65,charge-high,240
b2c3,66,charge-high,237
b2c3,67,charge-high,280
b2c3,68,charge-high,271
b2c3,69,charge-high,323
b2c3,70,charge-high,281
b2c3,71,charge-high,297
b2c3,72,charge-high,340
b2c3,73,charge-high,344
b2c3,74,charge-high,364
b2c3,75,charge-high,333
b2c3,76,charge-high,377
b2c3,77,charge-high,333
b2c3,78,charge-high,353
b2c3,79,charge-high,321
b2c3,80,charge-high,340
b2c3,81,charge-high,438
b2c3,82,charge-high,439
b2c3,83,charge-high,457
b2c3,84,charge-high,408
b2c3,85,charge-high,389
b2c3,86,charge-high,398
b2c3,87,charge-high,410
b2c3,88,charge-high,388
b2c3,89,charge-high,393
b2c3,90,charge-high,372
b2c3,91,charge-high,371
b2c3,92,charge-high,437
b2c3,93,charge-high,523
b2c3,94,charge-high,444
b2c3,95,charge-high,455
b2c3,96,charge-high,401
b2c3,97,charge-high,346
b2c3,98,charge-high,453
b2c3,99,charge-high,358
b2c3,100,charge-high,404
b2c3,101,charge-high,485
b2c3,102,charge-high,538
b2c3,103,charge-high,428
b2c3,104,charge-high,399
b2c3,105,charge-high,407
b2c3,106,charge-high,391
b2c3,107,charge-high,364
b2c3,108,charge-high,490
b2c3,109,charge-high,485
b2c3,110,charge-high,400
b2c3,111,charge-high,389
b2c3,112,charge-high,323
b2c3,113,charge-high,323
b2c3,114,charge-high,399
b2c3,115,charge-high,392
b2c3,116,charge-high,346
b2c3,117,charge-high,341
b2c3,118,charge-high,314
b2c3,119,charge-high,374
b2c3,120,charge-high,321
b2c3,121,charge-high,308
b2c3,122,charge-high,356
b2c3,123,charge-high,345
b2c3,124,charge-high,330
b2c3,125,charge-high,327
b2c3,126,charge-high,332
b2c3,127,charge-high,340
b2c3,128,charge-high,357
b2c3,129,charge-high,333
b2c3,130,charge-high,343
b2c3,131,charge-high,319
b2c3,132,charge-high,324
b2c3,133,charge-high,291
b2c3,134,charge-high,329
b2c3,135,charge-high,365
b2c3,136,charge-high,372
b2c3,137,charge-high,332
b2c3,138,charge-high,345
b2c3,139,charge-high,337
b2c3,140,charge-high,352
b2c3,141,charge-high,343
b2c3,142,charge-high,343
b2c3,143,charge-high,401
b2c3,144,charge-high,330
b2c3,145,charge-high,336
b2c3,146,charge-high,357
b2c3,147,charge-high,295
b2c3,148,charge-high,304
b2c3,149,charge-high,280
b2c3,150,charge-high,332
b2c3,151,charge-high,321
b2c3,152,charge-high,359
b2c3,153,charge-high,264
b2c3,154,charge-high,313
b2c3,155,charge-high,305
b2c3,156,charge-high,291
b2c3,157,charge-high,280
b2c3,158,charge-high,300
b2c3,159,charge-high,286
b2c3,160,charge-high,295
b2c3,161,charge-high,296
b2c3,162,charge-high,268
b2c3,163,charge-high,286
b2c3,164,charge-high,278
b2c3,165,charge-high,272
b2c3,166,charge-high,290
b2c3,167,charge-high,233
b2c3,168,charge-high,304
b2c3,169,charge-high,268
b2c3,170,charge-high,234
b2c3,171,charge-high,266
b2c3,172,charge-high,276
b2c3,173,charge-high,250
b2c3,174,charge-high,276
b2c3,175,charge-high,311
b2c3,176,charge-high,269
b2c3,177,charge-high,256
b2c3,178,charge-high,308
b2c3,179,charge-high,341
b2c3,180,charge-high,328
b2c3,181,charge-high,297
b2c3,182,charge-high,316
b2c3,183,charge-high,310
b2c3,184,charge-high,342
b2c3,185,charge-high,317
b2c3,186,charge-high,251
b2c3,187,charge-high,240
b2c3,188,charge-high,246
b2c3,189,charge-high,264
b2c3,190,charge-high,290
b2c3,191,charge-high,322
b2c3,192,charge-high,337
b2c3,193,charge-high,344
b2c3,194,charge-high,313
b2c3,195,charge-high,295
b2c3,196,charge-high,265
b2c3,197,charge-high,304
b2c3,198,charge-high,243
b2c3,199,charge-high,247
b2c3,200,charge-high,247
b2c3,201,charge-high,242
b2c3,202,charge-high,250
b2c3,203,charge-high,259
b2c3,204,charge-high,215
b2c3,205,charge-high,220
b2c3,206,charge-high,210
b2c3,207,charge-high,240
b2c3,208,charge-high,215
b2c3,209,charge-high,233
b2c3,214,charge-high,210
b2c3,215,charge-high,220
b2c3,216,charge-high,245
b2c3,217,charge-high,229
b2c3,219,charge-high,221
b2c3,220,charge-high,232
b2c3,224,charge-high,221
b2c3,225,charge-high,269
b2c3,226,charge-high,250
b2c3,227,charge-high,211
b2c3,228,charge-high,227
b2c3,229,charge-high,210
b2c3,230,charge-high,254
b2c3,231,charge-high,241
b2c3,233,charge-high,222
b2c3,234,charge-high,213
b2c3,235,charge-high,210
b2c3,236,charge-high,225
b2c3,237,charge-high,209
b2c3,239,charge-high,223
b2c3,246,charge-high,208
b2c3,308,charge-high,235
b2c5,248,charge-high,214
b2c6,3,charge-high,633
b2c6,4,charge-high,312
b2c6,25,charge-high,264
b2c6,28,charge-high,244
b2c6,30,charge-high,219
b2c6,31,charge-high,218
b2c6,33,charge-high,300
b2c6,36,charge-high,228
b2c6,37,charge-high,211
b2c6,38,charge-high,232
b2c6,48,charge-high,274
b2c6,49,charge-high,261
b2c6,50,charge-high,332
b2c6,51,charge-high,480
b2c6,52,charge-high,304
b2c6,53,charge-high,406
b2c6,54,charge-high,235
b2c6,56,charge-high,223
b2c6,57,charge-high,210
b2c6,58,charge-high,210
b2c6,59,charge-high,219
b2c6,60,charge-high,246
b2c6,61,charge-high,320
b2c6,62,charge-high,243
b2c6,63,charge-high,226
b2c6,66,charge-high,365
b2c6,67,charge-high,466
b2c6,68,charge-high,343
b2c6,69,charge-high,220
b2c6,70,charge-high,248
b2c6,71,charge-high,274
b2c6,72,charge-high,255
b2c6,76,charge-high,247
b2c6,77,charge-high,267
b2c6,78,charge-high,209
b2c6,79,charge-high,251
b2c6,80,charge-high,217
b2c6,81,charge-high,290
b2c6,95,charge-high,232
b2c6,102,charge-high,431
b2c6,103,charge-high,353
b2c6,104,charge-high,222
b2c6,105,charge-high,280
b2c6,106,charge-high,307
b2c6,107,charge-high,281
b2c6,108,charge-high,437
b2c6,109,charge-high,506
b2c6,110,charge-high,310
b2c6,111,charge-high,393
b2c6,112,charge-high,348
b2c6,113,charge-high,406
b2c6,114,charge-high,445
b2c6,115,charge-high,503
b2c6,116,charge-high,484
b2c6,117,charge-high,704
b2c6,118,charge-high,428
b2c6,119,charge-high,465
b2c6,120,charge-high,409
b2c6,121,charge-high,477
b2c6,122,charge-high,491
b2c6,123,charge-high,452
b2c6,124,charge-high,385
b2c6,125,charge-high,256
b2c6,126,charge-high,263
b2c6,127,charge-high,351
b2c6,128,charge-high,329
b2c6,129,charge-high,264
b2c6,130,charge-high,332
b2c6,131,charge-high,332
b2c6,132,charge-high,278
b2c6,133,charge-high,284
b2c6,134,charge-high,246
b2c6,136,charge-high,440
b2c6,137,charge-high,218
b2c6,138,charge-high,380
b2c6,139,charge-high,272
b2c6,140,charge-high,246
b2c6,141,charge-high,275
b2c6,142,charge-high,376
b2c6,143,charge-high,527
b2c6,144,charge-high,289
b2c6,145,charge-high,443
b2c6,146,charge-high,294
b2c6,147,charge-high,291
b2c6,148,charge-high,517
b2c6,149,charge-high,250
b2c6,150,charge-high,475
b2c6,151,charge-high,218
b2c6,152,charge-high,294
b2c6,153,charge-high,241
b2c6,154,charge-high,258
b2c6,155,charge-high,224
b2c6,156,charge-high,214
b2c6,158,charge-high,285
b2c6,159,charge-high,347
b2c6,160,charge-high,957
b2c6,161,charge-high,817
b2c6,162,charge-high,511
b2c6,163,charge-high,824
b2c6,164,charge-high,636
b2c6,165,charge-high,452
b2c6,166,charge-high,402
b2c6,167,charge-high,412
b2c6,168,charge-high,570
b2c6,169,charge-high,561
b2c6,170,charge-high,666
b2c6,171,charge-high,642
b2c6,172,charge-high,638
b2c6,173,charge-high,569
b2c6,174,charge-high,533
b2c6,175,charge-high,602
b2c6,176,charge-high,568
b2c6,177,charge-high,685
b2c6,178,charge-high,776
b2c6,179,charge-high,801
b2c6,180,charge-high,971
b2c6,181,charge-high,856
b2c6,182,charge-high,585
b2c6,183,charge-high,532
b2c6,184,charge-high,689
b2c6,185,charge-high,621
b2c6,186,charge-high,585
b2c6,187,charge-high,611
b2c6,188,charge-high,436
b2c6,189,charge-high,507
b2c6,190,charge-high,687
b2c6,191,charge-high,467
b2c6,192,charge-high,503
b2c6,193,charge-high,460
b2c6,194,charge-high,449
b2c6,195,charge-high,532
b2c6,196,charge-high,557
b2c6,197,charge-high,522
b2c6,198,charge-high,694
b2c6,199,charge-high,615
b2c6,200,charge-high,463
b2c6,202,charge-high,244
b2c6,214,charge-high,210
b2c6,217,charge-high,212
b2c6,222,charge-high,210
b2c6,224,charge-high,269
b2c6,225,charge-high,217
b2c6,226,charge-high,335
b2c6,227,charge-high,353
b2c6,228,charge-high,448
b2c6,229,charge-high,538
b2c6,230,charge-high,450
b2c6,231,charge-high,505
b2c6,232,charge-high,416
b2c6,233,charge-high,433
b2c6,234,charge-high,423
b2c6,235,charge-high,403
b2c6,236,charge-high,460
b2c6,237,charge-high,451
b2c6,238,charge-high,436
b2c6,239,charge-high,332
b2c6,240,charge-high,460
b2c6,241,charge-high,377
b2c6,242,charge-high,338
b2c6,243,charge-high,443
b2c6,244,charge-high,390
b2c6,245,charge-high,401
b2c6,246,charge-high,477
b2c6,247,charge-high,496
b2c6,248,charge-high,425
b2c6,249,charge-high,437
b2c6,250,charge-high,438
b2c6,251,charge-high,514
b2c6,252,charge-high,490
b2c6,253,charge-high,450
b2c6,254,charge-high,456
b2c6,256,charge-high,210
b2c6,271,charge-high,229
b2c6,272,charge-high,278
b2c6,273,charge-high,234
b2c6,274,charge-high,386
b2c6,275,charge-high,307
b2c6,276,charge-high,348
b2c6,277,charge-high,252
b2c6,278,charge-high,431
b2c6,279,charge-high,354
b2c6,280,charge-high,429
b2c6,281,charge-high,340
b2c6,282,charge-high,233
b2c6,283,charge-high,261
b2c6,284,charge-high,264
b2c6,285,charge-high,468
b2c6,286,charge-high,527
b2c6,287,charge-high,443
