cell_id,cycle,scenario,feature,V_std,count,I_std,V_min,V_max
1-1,1,charge-high,V_std,0.1419736839304019,,,,
1-2,1,charge-high,V_std,0.1381965580341358,,,,
1-3,1,charge-high,V_std,0.1425068300931166,,,,
1-3,2,charge-high,V_std,0.1690730885604279,,,,
1-3,3,charge-high,V_std,0.1675811504625092,,,,
1-3,4,charge-high,V_std,0.1672364548936943,,,,
1-3,5,charge-high,V_std,0.167390496500968,,,,
1-3,6,charge-high,V_std,0.167505220352712,,,,
1-3,7,charge-high,V_std,0.1680787883601567,,,,
1-3,8,charge-high,V_std,0.1666489939874818,,,,
1-3,9,charge-high,V_std,0.1669424422351202,,,,
1-3,10,charge-high,V_std,0.1666348711052705,,,,
1-3,11,charge-high,V_std,0.1679298530374084,,,,
1-3,12,charge-high,V_std,0.1668459818391626,,,,
1-3,13,charge-high,V_std,0.1668569820001043,,,,
1-3,14,charge-high,V_std,0.1677304964942543,,,,
1-3,15,charge-high,V_std,0.1684549842558214,,,,
1-3,16,charge-high,V_std,0.1678930530480479,,,,
1-3,17,charge-high,V_std,0.168883710928071,,,,
1-3,18,charge-high,V_std,0.1680274366114328,,,,
1-3,19,charge-high,V_std,0.1689883331039583,,,,
1-3,20,charge-high,V_std,0.1689764264933226,,,,
1-3,21,charge-high,V_std,0.1689307623278974,,,,
1-3,22,charge-high,V_std,0.168162898425992,,,,
1-3,23,charge-high,V_std,0.1686412861794386,,,,
1-3,24,charge-high,V_std,0.1673420264071018,,,,
1-3,25,charge-high,V_std,0.167420747512076,,,,
1-3,26,charge-high,V_std,0.1684317226070805,,,,
1-3,27,charge-high,V_std,0.1668969305317104,,,,
1-3,28,charge-high,V_std,0.167964702527338,,,,
1-3,29,charge-high,V_std,0.1687533185612638,,,,
1-3,30,charge-high,V_std,0.1671667703303581,,,,
1-3,31,charge-high,V_std,0.168870617646063,,,,
1-3,32,charge-high,V_std,0.1676039423995244,,,,
1-3,33,charge-high,V_std,0.1690003977519965,,,,
1-3,34,charge-high,V_std,0.1681473933568164,,,,
1-3,35,charge-high,V_std,0.1673388283087923,,,,
1-3,36,charge-high,V_std,0.1665931605651505,,,,
1-3,37,charge-high,V_std,0.1664155103946368,,,,
1-3,38,charge-high,V_std,0.1679195342463128,,,,
1-3,39,charge-high,V_std,0.1673035401085104,,,,
1-3,40,charge-high,V_std,0.1670024697508025,,,,
1-3,41,charge-high,V_std,0.1665913603720232,,,,
1-3,42,charge-high,V_std,0.1662499329707111,,,,
1-3,43,charge-high,V_std,0.1682414174121222,,,,
1-3,44,charge-high,V_std,0.1655563825134335,,,,
1-3,45,charge-high,V_std,0.1673656624232458,,,,
1-3,46,charge-high,V_std,0.1682383646921877,,,,
1-3,47,charge-high,V_std,0.1683162647150375,,,,
1-3,48,charge-high,V_std,0.1660543290718891,,,,
1-3,49,charge-high,V_std,0.1659282175972629,,,,
1-3,50,charge-high,V_std,0.1680633233265026,,,,
1-3,51,charge-high,V_std,0.1657756506983981,,,,
1-3,52,charge-high,V_std,0.1659046843591884,,,,
1-3,53,charge-high,V_std,0.166939619001091,,,,
1-3,54,charge-high,V_std,0.1653426081402038,,,,
1-3,55,charge-high,V_std,0.1668721609604423,,,,
1-3,56,charge-high,V_std,0.1661640418303846,,,,
1-3,57,charge-high,V_std,0.166071074777912,,,,
1-3,58,charge-high,V_std,0.1661632861918536,,,,
1-3,59,charge-high,V_std,0.1673480528862238,,,,
1-3,60,charge-high,V_std,0.1666364135200446,,,,
1-3,61,charge-high,V_std,0.1655332844501962,,,,
1-3,62,charge-high,V_std,0.1662987414447429,,,,
1-3,63,charge-high,V_std,0.1668838345581074,,,,
1-3,68,charge-high,V_std,0.1658648819820838,,,,
1-3,69,charge-high,V_std,0.1660230922772121,,,,
1-3,72,charge-high,V_std,0.165237854855208,,,,
1-3,74,charge-high,V_std,0.1647937871270354,,,,
1-3,76,charge-high,V_std,0.1654345519830251,,,,
1-3,84,charge-high,V_std,0.1648930597579435,,,,
1-3,85,charge-high,V_std,0.1650401974974862,,,,
1-3,86,charge-high,V_std,0.1649499722605346,,,,
1-4,2,charge-high,V_std,0.1701551598261391,,,,
1-4,3,charge-high,V_std,0.169359081689541,,,,
1-4,4,charge-high,V_std,0.1692219627053053,,,,
1-4,5,charge-high,V_std,0.1682407632970755,,,,
1-4,6,charge-high,V_std,0.1686201706692344,,,,
1-4,7,charge-high,V_std,0.1693737857649401,,,,
