cell_id,cycle,scenario,feature,V_std,count,I_std,V_min,V_max
1-2,1,charge-high,V_std,0.1381965580341358,,,,
1-3,2,charge-high,V_std,0.1690730885604279,,,,
1-3,19,charge-high,V_std,0.1689883331039583,,,,
1-3,20,charge-high,V_std,0.1689764264933226,,,,
1-3,33,charge-high,V_std,0.1690003977519965,,,,
1-4,2,charge-high,V_std,0.1701551598261391,,,,
1-4,3,charge-high,V_std,0.169359081689541,,,,
1-4,4,charge-high,V_std,0.1692219627053053,,,,
1-4,7,charge-high,V_std,0.1693737857649401,,,,
1-4,13,charge-high,V_std,0.16953519403549,,,,
1-4,20,charge-high,V_std,0.1696725217974289,,,,
1-4,23,charge-high,V_std,0.1690414405727108,,,,
1-4,25,charge-high,V_std,0.1693978641356732,,,,
1-4,26,charge-high,V_std,0.169177677975714,,,,
1-4,27,charge-high,V_std,0.1700920988756018,,,,
1-4,33,charge-high,V_std,0.1691941242039004,,,,
1-4,36,charge-high,V_std,0.1697544939180268,,,,
1-4,37,charge-high,V_std,0.1691053702953271,,,,
1-4,40,charge-high,V_std,0.1690902913342358,,,,
1-6,1,charge-high,V_std,0.1347969583568913,,,,
2-2,1,charge-high,V_std,0.1380215869737219,,,,
2-3,2,charge-high,V_std,0.1697264249564646,,,,
2-3,22,charge-high,V_std,0.1692392436496906,,,,
2-3,27,charge-high,V_std,0.1690335438194745,,,,
2-5,1,charge-high,V_std,0.1406690818530212,,,,
2-8,1,charge-high,V_std,0.1393420652794292,,,,
3-1,2,charge-high,V_std,0.1695794061380212,,,,
3-1,5,charge-high,V_std,0.1690806461510829,,,,
3-1,10,charge-high,V_std,0.1690043496585672,,,,
3-1,11,charge-high,V_std,0.1695248448332166,,,,
3-1,12,charge-high,V_std,0.1696131903709911,,,,
3-1,13,charge-high,V_std,0.1696636198048697,,,,
3-1,14,charge-high,V_std,0.1694458433808215,,,,
3-1,15,charge-high,V_std,0.1691253584845164,,,,
3-1,21,charge-high,V_std,0.1690729491304259,,,,
3-1,24,charge-high,V_std,0.1691684252432787,,,,
3-2,2,charge-high,V_std,0.1694300892776618,,,,
3-3,2,charge-high,V_std,0.1693519899321736,,,,
3-3,11,charge-high,V_std,0.1694490508731551,,,,
3-3,13,charge-high,V_std,0.1697359088169196,,,,
3-3,15,charge-high,V_std,0.1697930521945554,,,,
3-3,18,charge-high,V_std,0.1693072645893796,,,,
3-3,20,charge-high,V_std,0.1690482209010915,,,,
3-3,22,charge-high,V_std,0.1695073927804198,,,,
3-5,1,charge-high,V_std,0.1377461825217662,,,,
3-7,1,charge-high,V_std,0.1399308163602733,,,,
3-8,2,charge-high,V_std,0.1697190152708398,,,,
3-8,14,charge-high,V_std,0.1691359165882334,,,,
3-8,16,charge-high,V_std,0.1692924485042596,,,,
3-8,18,charge-high,V_std,0.1691929606657138,,,,
3-8,21,charge-high,V_std,0.169085419668591,,,,
4-1,1,charge-high,V_std,0.1408875882918367,,,,
4-2,2,charge-high,V_std,0.1691989557946447,,,,
4-2,14,charge-high,V_std,0.1690521442745146,,,,
4-3,1,charge-high,V_std,0.1405563105608669,,,,
4-6,1,charge-high,V_std,0.1408920533274366,,,,
4-7,1,charge-high,V_std,0.1374948595204847,,,,
4-8,2,charge-high,V_std,0.1696312007674901,,,,
4-8,13,charge-high,V_std,0.1693545235684568,,,,
4-8,14,charge-high,V_std,0.1690128114516252,,,,
4-8,15,charge-high,V_std,0.1689932435741974,,,,
4-8,26,charge-high,V_std,0.1692509791160381,,,,
5-1,1,charge-high,V_std,0.1396866624635751,,,,
5-2,2,charge-high,V_std,0.170388152910271,,,,
5-2,27,charge-high,V_std,0.1692818859757859,,,,
5-3,1,charge-high,V_std,0.1403575858198021,,,,
5-5,2,charge-high,V_std,0.169687167307349,,,,
6-3,2,charge-high,V_std,0.1701575214592589,,,,
6-3,12,charge-high,V_std,0.1690401738072256,,,,
6-3,15,charge-high,V_std,0.1693561758862761,,,,
6-3,19,charge-high,V_std,0.169285521744597,,,,
6-3,23,charge-high,V_std,0.1689742146250149,,,,
6-3,24,charge-high,V_std,0.1692374360188409,,,,
6-3,25,charge-high,V_std,0.1689696484576667,,,,
6-3,27,charge-high,V_std,0.1692658941797488,,,,
6-3,31,charge-high,V_std,0.169256096978742,,,,
6-6,1,charge-high,V_std,0.1312892986318578,,,,
6-6,2322,charge-high,V_std,0.1406291614128539,,,,
6-6,2325,charge-high,V_std,0.1404894515330723,,,,
6-6,2326,charge-high,V_std,0.14088842619222,,,,
6-6,2329,charge-high,V_std,0.1404709590954883,,,,
6-6,2332,charge-high,V_std,0.1405870597072961,,,,
6-6,2335,charge-high,V_std,0.1404157007455826,,,,
6-6,2338,charge-high,V_std,0.1405191527362526,,,,
6-6,2339,charge-high,V_std,0.1401504688845936,,,,
6-6,2341,charge-high,V_std,0.1405434044688064,,,,
6-6,2342,charge-high,V_std,0.1402039820098865,,,,
6-6,2344,charge-high,V_std,0.1403450747265467,,,,
6-6,2346,charge-high,V_std,0.1402416676923904,,,,
6-6,2347,charge-high,V_std,0.1407075633113439,,,,
6-6,2350,charge-high,V_std,0.1402511654027352,,,,
6-6,2351,charge-high,V_std,0.1400769705645424,,,,
