cell_id,cycle,scenario,count
1-1,1474,charge-high,35
1-1,1475,charge-high,35
1-1,1476,charge-high,35
1-1,1477,charge-high,35
1-1,1478,charge-high,35
1-1,1479,charge-high,35
1-1,1480,charge-high,35
1-1,1481,charge-high,35
1-1,1482,charge-high,35
1-1,1483,charge-high,35
1-1,1484,charge-high,35
1-1,1485,charge-high,35
1-1,1486,charge-high,35
1-1,1487,charge-high,35
1-1,1488,charge-high,35
1-1,1489,charge-high,35
1-1,1490,charge-high,35
1-1,1491,charge-high,35
1-1,1492,charge-high,35
1-1,1493,charge-high,35
1-1,1494,charge-high,35
1-1,1495,charge-high,35
1-1,1496,charge-high,35
1-1,1497,charge-high,35
1-1,1498,charge-high,35
1-1,1499,charge-high,35
1-1,1500,charge-high,35
1-1,1501,charge-high,35
1-1,1502,charge-high,35
1-1,1503,charge-high,35
1-1,1504,charge-high,35
10-1,1672,charge-high,35
10-1,1673,charge-high,35
10-1,1674,charge-high,35
10-1,1675,charge-high,35
10-1,1676,charge-high,35
10-1,1677,charge-high,35
10-1,1678,charge-high,35
10-1,1679,charge-high,35
10-1,1680,charge-high,35
10-1,1681,charge-high,35
10-1,1682,charge-high,35
10-1,1683,charge-high,35
10-1,1684,charge-high,35
10-1,1685,charge-high,35
10-1,1686,charge-high,35
10-1,1687,charge-high,35
10-1,1688,charge-high,35
10-1,1689,charge-high,35
10-1,1690,charge-high,35
10-1,1691,charge-high,35
10-1,1692,charge-high,35
10-1,1693,charge-high,35
10-1,1694,charge-high,35
10-1,1695,charge-high,35
10-1,1696,charge-high,35
10-1,1697,charge-high,35
10-1,1698,charge-high,35
10-1,1699,charge-high,35
10-1,1700,charge-high,35
10-1,1701,charge-high,35
10-1,1702,charge-high,35
2-2,1,charge-high,48
2-2,2,charge-high,48
2-2,3,charge-high,48
2-2,4,charge-high,48
2-2,5,charge-high,48
2-2,6,charge-high,48
2-2,7,charge-high,48
2-2,8,charge-high,48
2-2,9,charge-high,48
2-2,10,charge-high,48
2-2,11,charge-high,48
2-2,12,charge-high,48
2-2,13,charge-high,48
2-2,14,charge-high,48
2-2,15,charge-high,48
2-2,16,charge-high,48
2-2,17,charge-high,48
2-2,18,charge-high,48
2-2,19,charge-high,48
2-2,20,charge-high,48
2-2,21,charge-high,48
2-2,22,charge-high,48
2-2,23,charge-high,48
2-2,24,charge-high,48
2-2,25,charge-high,48
2-2,26,charge-high,48
2-2,27,charge-high,48
2-2,28,charge-high,48
2-2,29,charge-high,48
2-2,30,charge-high,48
2-2,31,charge-high,48
2-2,32,charge-high,48
2-2,33,charge-high,48
2-2,34,charge-high,48
2-2,35,charge-high,48
2-2,36,charge-high,48
2-2,37,charge-high,48
2-2,38,charge-high,48
2-2,39,charge-high,48
2-2,40,charge-high,48
2-2,41,charge-high,48
2-2,42,charge-high,48
2-2,43,charge-high,48
2-2,44,charge-high,48
2-2,45,charge-high,48
2-2,46,charge-high,48
2-2,47,charge-high,48
2-2,48,charge-high,48
2-2,49,charge-high,48
2-2,50,charge-high,48
2-2,51,charge-high,48
2-2,52,charge-high,48
2-2,53,charge-high,48
2-2,54,charge-high,48
2-2,55,charge-high,48
2-2,56,charge-high,48
2-2,57,charge-high,48
2-2,58,charge-high,48
2-2,59,charge-high,48
2-2,60,charge-high,48
2-2,61,charge-high,48
2-2,62,charge-high,48
2-2,63,charge-high,48
2-2,64,charge-high,48
2-2,65,charge-high,48
2-2,66,charge-high,48
2-2,67,charge-high,48
2-2,68,charge-high,48
2-2,69,charge-high,48
2-2,70,charge-high,48
2-2,71,charge-high,48
2-2,72,charge-high,48
2-2,73,charge-high,48
2-2,74,charge-high,48
2-2,75,charge-high,48
2-2,76,charge-high,48
2-2,77,charge-high,48
2-2,78,charge-high,48
2-2,79,charge-high,48
2-2,80,charge-high,48
2-2,81,charge-high,48
2-2,82,charge-high,48
2-2,83,charge-high,48
2-2,84,charge-high,48
2-2,85,charge-high,48
2-2,86,charge-high,48
2-2,87,charge-high,48
2-2,88,charge-high,48
2-2,89,charge-high,48
2-2,90,charge-high,48
2-2,91,charge-high,48
2-2,92,charge-high,48
2-2,93,charge-high,48
2-2,94,charge-high,48
2-2,95,charge-high,48
2-2,96,charge-high,48
2-2,97,charge-high,48
2-2,98,charge-high,48
2-2,99,charge-high,48
2-2,100,charge-high,48
2-2,101,charge-high,48
2-2,102,charge-high,48
2-2,103,charge-high,48
2-2,104,charge-high,48
2-2,105,charge-high,48
2-2,106,charge-high,48
2-2,107,charge-high,48
2-2,108,charge-high,48
2-2,109,charge-high,48
2-2,110,charge-high,48
2-2,111,charge-high,48
2-2,112,charge-high,48
2-2,113,charge-high,48
2-2,114,charge-high,48
2-2,115,charge-high,48
2-2,116,charge-high,48
2-2,117,charge-high,48
2-2,118,charge-high,48
2-2,119,charge-high,48
2-2,120,charge-high,48
2-2,121,charge-high,48
2-2,122,charge-high,48
2-2,123,charge-high,48
2-2,124,charge-high,48
2-2,125,charge-high,48
2-2,126,charge-high,48
2-2,127,charge-high,48
2-2,128,charge-high,48
2-2,129,charge-high,48
2-2,130,charge-high,48
2-2,131,charge-high,48
2-2,132,charge-high,48
2-2,133,charge-high,48
2-2,134,charge-high,48
2-2,135,charge-high,48
2-2,136,charge-high,48
2-2,137,charge-high,48
2-2,138,charge-high,48
2-2,139,charge-high,48
2-2,140,charge-high,48
2-2,141,charge-high,48
2-2,142,charge-high,48
2-2,143,charge-high,48
2-2,144,charge-high,48
2-2,145,charge-high,48
2-2,146,charge-high,48
2-2,147,charge-high,48
2-2,148,charge-high,48
2-2,149,charge-high,48
2-2,150,charge-high,48
2-2,151,charge-high,48
2-2,152,charge-high,48
2-2,153,charge-high,48
2-2,154,charge-high,48
2-2,155,charge-high,48
2-2,156,charge-high,48
2-2,157,charge-high,48
2-2,158,charge-high,48
2-2,159,charge-high,48
2-2,160,charge-high,48
2-2,161,charge-high,48
2-2,2617,charge-high,35
2-2,2618,charge-high,35
2-2,2619,charge-high,35
2-2,2620,charge-high,35
2-2,2621,charge-high,35
2-2,2622,charge-high,35
2-2,2623,charge-high,35
2-2,2624,charge-high,35
2-2,2625,charge-high,35
2-2,2626,charge-high,35
2-2,2627,charge-high,35
2-2,2628,charge-high,35
2-2,2629,charge-high,35
2-2,2630,charge-high,35
2-2,2631,charge-high,35
2-2,2632,charge-high,35
2-2,2633,charge-high,35
2-2,2634,charge-high,35
2-2,2635,charge-high,35
2-2,2636,charge-high,35
2-2,2637,charge-high,35
2-2,2638,charge-high,35
2-2,2639,charge-high,35
2-2,2640,charge-high,35
2-2,2641,charge-high,35
2-2,2642,charge-high,35
2-2,2643,charge-high,35
2-2,2644,charge-high,35
2-2,2645,charge-high,35
2-2,2646,charge-high,35
2-2,2647,charge-high,35
2-2,2648,charge-high,35
2-2,2649,charge-high,35
2-2,2650,charge-high,35
2-2,2651,charge-high,35
3-1,16,charge-high,48
3-1,17,charge-high,48
3-1,18,charge-high,48
3-1,19,charge-high,48
3-1,20,charge-high,48
3-1,21,charge-high,48
3-1,22,charge-high,48
3-1,23,charge-high,48
3-1,24,charge-high,48
3-1,25,charge-high,48
3-1,26,charge-high,48
3-1,27,charge-high,48
3-1,28,charge-high,48
3-1,29,charge-high,48
3-1,30,charge-high,48
3-1,31,charge-high,48
3-1,32,charge-high,48
3-1,33,charge-high,48
3-1,34,charge-high,48
3-1,35,charge-high,48
3-1,36,charge-high,48
3-1,37,charge-high,48
3-1,38,charge-high,48
3-1,39,charge-high,48
3-1,40,charge-high,48
3-1,41,charge-high,48
3-1,42,charge-high,48
3-1,43,charge-high,48
3-1,44,charge-high,48
3-1,45,charge-high,48
3-1,46,charge-high,48
3-1,47,charge-high,48
3-1,48,charge-high,48
3-1,49,charge-high,48
3-1,50,charge-high,48
3-1,51,charge-high,48
3-1,52,charge-high,48
3-1,53,charge-high,48
3-1,54,charge-high,48
3-1,55,charge-high,48
3-1,56,charge-high,48
3-1,57,charge-high,48
3-1,58,charge-high,48
3-1,59,charge-high,48
3-1,60,charge-high,48
3-1,61,charge-high,48
3-1,62,charge-high,48
3-1,63,charge-high,48
3-1,64,charge-high,48
3-1,65,charge-high,48
3-1,66,charge-high,48
3-1,67,charge-high,48
3-1,68,charge-high,48
3-1,69,charge-high,48
3-1,70,charge-high,48
3-1,71,charge-high,48
3-1,72,charge-high,48
3-1,73,charge-high,48
3-1,74,charge-high,48
3-1,75,charge-high,48
3-1,76,charge-high,48
3-1,77,charge-high,48
3-1,78,charge-high,48
3-1,79,charge-high,48
3-1,83,charge-high,48
3-1,1907,charge-high,35
3-1,1908,charge-high,35
3-1,1909,charge-high,35
3-1,1910,charge-high,35
3-1,1911,charge-high,35
3-1,1912,charge-high,35
3-1,1913,charge-high,35
3-1,1914,charge-high,35
3-1,1915,charge-high,35
3-1,1916,charge-high,35
3-1,1917,charge-high,35
3-1,1918,charge-high,35
3-1,1919,charge-high,35
3-1,1920,charge-high,35
3-1,1921,charge-high,35
3-1,1922,charge-high,35
3-1,1923,charge-high,35
3-1,1924,charge-high,35
3-1,1925,charge-high,35
3-1,1926,charge-high,35
3-1,1927,charge-high,35
3-1,1928,charge-high,35
3-1,1929,charge-high,35
3-1,1930,charge-high,35
3-1,1931,charge-high,35
3-1,1932,charge-high,35
3-1,1933,charge-high,35
3-1,1934,charge-high,35
3-1,1935,charge-high,35
3-1,1936,charge-high,35
3-1,1937,charge-high,35
3-1,1938,charge-high,35
4-1,2190,charge-high,35
4-1,2191,charge-high,35
4-1,2192,charge-high,35
4-1,2193,charge-high,35
4-1,2194,charge-high,35
4-1,2195,charge-high,35
4-1,2196,charge-high,35
4-1,2197,charge-high,35
4-1,2198,charge-high,35
4-1,2199,charge-high,35
4-1,2200,charge-high,35
4-1,2201,charge-high,35
4-1,2202,charge-high,35
4-1,2203,charge-high,35
4-1,2204,charge-high,35
4-1,2205,charge-high,35
4-1,2206,charge-high,35
4-1,2207,charge-high,35
4-1,2208,charge-high,35
4-1,2209,charge-high,35
4-1,2210,charge-high,35
4-1,2211,charge-high,35
4-1,2212,charge-high,35
4-1,2213,charge-high,35
4-1,2214,charge-high,35
4-1,2215,charge-high,35
4-1,2216,charge-high,35
4-1,2217,charge-high,35
5-1,1,charge-high,48
5-1,2,charge-high,48
5-1,3,charge-high,48
5-1,4,charge-high,48
5-1,5,charge-high,48
5-1,6,charge-high,48
5-1,7,charge-high,48
5-1,8,charge-high,48
5-1,9,charge-high,48
5-1,10,charge-high,48
5-1,11,charge-high,48
5-1,12,charge-high,48
5-1,13,charge-high,48
5-1,14,charge-high,48
5-1,15,charge-high,48
5-1,16,charge-high,48
5-1,17,charge-high,48
5-1,18,charge-high,48
5-1,19,charge-high,48
5-1,20,charge-high,48
5-1,21,charge-high,48
5-1,22,charge-high,48
5-1,23,charge-high,48
5-1,24,charge-high,48
5-1,25,charge-high,48
5-1,26,charge-high,48
5-1,27,charge-high,48
5-1,28,charge-high,48
5-1,29,charge-high,48
5-1,30,charge-high,48
5-1,31,charge-high,48
5-1,2453,charge-high,35
5-1,2454,charge-high,35
5-1,2455,charge-high,35
5-1,2456,charge-high,35
5-1,2457,charge-high,35
5-1,2458,charge-high,35
5-1,2459,charge-high,35
5-1,2460,charge-high,35
5-1,2461,charge-high,35
5-1,2462,charge-high,35
5-1,2463,charge-high,35
5-1,2464,charge-high,35
5-1,2465,charge-high,35
5-1,2466,charge-high,35
5-1,2467,charge-high,35
5-1,2468,charge-high,35
5-1,2469,charge-high,35
5-1,2470,charge-high,35
5-1,2471,charge-high,35
5-1,2472,charge-high,35
5-1,2473,charge-high,35
5-1,2474,charge-high,35
5-1,2475,charge-high,35
5-1,2476,charge-high,35
5-1,2477,charge-high,35
5-1,2478,charge-high,35
5-1,2479,charge-high,35
5-1,2480,charge-high,35
5-1,2481,charge-high,35
5-1,2482,charge-high,35
5-1,2483,charge-high,35
5-1,2484,charge-high,35
5-1,2485,charge-high,35
5-1,2486,charge-high,35
5-1,2487,charge-high,35
5-1,2488,charge-high,35
5-1,2489,charge-high,35
5-1,2490,charge-high,35
5-1,2491,charge-high,35
5-1,2492,charge-high,35
5-1,2493,charge-high,35
5-1,2494,charge-high,35
5-1,2495,charge-high,35
5-1,2496,charge-high,35
5-1,2497,charge-high,35
5-1,2498,charge-high,35
5-1,2499,charge-high,35
5-1,2500,charge-high,35
5-1,2501,charge-high,35
5-1,2502,charge-high,35
5-1,2503,charge-high,35
5-1,2504,charge-high,35
5-1,2505,charge-high,35
5-1,2506,charge-high,35
5-1,2507,charge-high,35
6-1,1571,charge-high,35
6-1,1572,charge-high,35
6-1,1573,charge-high,35
6-1,1574,charge-high,35
6-1,1575,charge-high,35
6-1,1576,charge-high,35
6-1,1577,charge-high,35
6-1,1578,charge-high,35
6-1,1579,charge-high,35
6-1,1580,charge-high,35
6-1,1581,charge-high,35
6-1,1582,charge-high,35
6-1,1583,charge-high,35
6-1,1584,charge-high,35
6-1,1585,charge-high,35
6-1,1586,charge-high,35
6-1,1587,charge-high,35
6-1,1588,charge-high,35
6-1,1589,charge-high,35
6-1,1590,charge-high,35
6-1,1591,charge-high,35
6-1,1592,charge-high,35
6-1,1593,charge-high,35
6-1,1594,charge-high,35
6-1,1595,charge-high,35
6-1,1596,charge-high,35
6-1,1597,charge-high,35
6-1,1598,charge-high,35
6-1,1599,charge-high,35
6-1,1600,charge-high,35
6-1,1601,charge-high,35
6-1,1602,charge-high,35
6-1,1603,charge-high,35
6-1,1604,charge-high,35
6-1,1605,charge-high,35
6-1,1606,charge-high,35
6-1,1607,charge-high,35
6-1,1608,charge-high,35
6-1,1609,charge-high,35
7-1,1661,charge-high,35
7-1,1662,charge-high,35
7-1,1663,charge-high,35
7-1,1664,charge-high,35
7-1,1665,charge-high,35
7-1,1666,charge-high,35
7-1,1667,charge-high,35
7-1,1668,charge-high,35
7-1,1669,charge-high,35
7-1,1670,charge-high,35
7-1,1671,charge-high,35
7-1,1672,charge-high,35
7-1,1673,charge-high,35
7-1,1674,charge-high,35
7-1,1675,charge-high,35
7-1,1676,charge-high,35
7-1,1677,charge-high,35
7-1,1678,charge-high,35
7-1,1679,charge-high,35
7-1,1680,charge-high,35
7-1,1681,charge-high,35
7-1,1682,charge-high,35
7-1,1683,charge-high,35
7-1,1684,charge-high,35
7-1,1685,charge-high,35
7-1,1686,charge-high,35
7-1,1687,charge-high,35
7-1,1688,charge-high,35
7-1,1689,charge-high,35
7-1,1690,charge-high,35
8-1,1285,charge-high,35
8-1,1286,charge-high,35
8-1,1287,charge-high,35
8-1,1288,charge-high,35
8-1,1289,charge-high,35
8-1,1290,charge-high,35
8-1,1291,charge-high,35
8-1,1292,charge-high,35
8-1,1293,charge-high,35
8-1,1294,charge-high,35
8-1,1295,charge-high,35
8-1,1296,charge-high,35
8-1,1297,charge-high,35
8-1,1298,charge-high,35
8-1,1299,charge-high,35
8-1,1300,charge-high,35
8-1,1301,charge-high,35
8-1,1302,charge-high,35
8-1,1303,charge-high,35
8-1,1304,charge-high,35
8-1,1305,charge-high,35
8-1,1306,charge-high,35
8-1,1307,charge-high,35
8-1,1308,charge-high,35
9-1,1,charge-high,48
9-1,2,charge-high,48
9-1,3,charge-high,48
9-1,4,charge-high,48
9-1,5,charge-high,48
9-1,6,charge-high,48
9-1,7,charge-high,48
9-1,8,charge-high,48
9-1,9,charge-high,48
9-1,10,charge-high,48
9-1,11,charge-high,48
9-1,12,charge-high,48
9-1,13,charge-high,48
9-1,14,charge-high,48
9-1,15,charge-high,48
9-1,16,charge-high,48
9-1,17,charge-high,48
9-1,18,charge-high,48
9-1,19,charge-high,48
9-1,20,charge-high,48
9-1,21,charge-high,48
9-1,22,charge-high,48
