cell_id,cycle,scenario,feature,V_std,count,I_std,T_std,V_min,V_max
b1c0,149,charge-high,V_std,0.0854485907253537,,,,,
b1c2,152,charge-high,V_std,0.0892263107115432,,,,,
b1c9,143,charge-high,V_std,0.0671710815510849,,,,,
b1c9,961,charge-high,V_std,0.4744044542361467,,,,,
b1c9,965,charge-high,V_std,0.4748280206982789,,,,,
b1c9,976,charge-high,V_std,0.471307520119077,,,,,
b1c9,980,charge-high,V_std,0.470330181556216,,,,,
b1c9,985,charge-high,V_std,0.4774274643580279,,,,,
b1c9,989,charge-high,V_std,0.472397479446528,,,,,
b1c9,990,charge-high,V_std,0.4700304042335537,,,,,
b1c9,993,charge-high,V_std,0.4708423316066075,,,,,
b1c9,1003,charge-high,V_std,0.4706999930533114,,,,,
b1c9,1004,charge-high,V_std,0.4745000175362523,,,,,
b1c9,1007,charge-high,V_std,0.471323792902683,,,,,
b1c9,1010,charge-high,V_std,0.4701913826712432,,,,,
b1c9,1011,charge-high,V_std,0.4720613282407502,,,,,
b1c9,1023,charge-high,V_std,0.4743304396601021,,,,,
b1c9,1032,charge-high,V_std,0.4716011797274974,,,,,
b1c9,1038,charge-high,V_std,0.4725710683637661,,,,,
b1c9,1046,charge-high,V_std,0.469914106142068,,,,,
b1c15,701,charge-high,V_std,0.4700267512511885,,,,,
b1c20,165,charge-high,V_std,0.1789835036336094,,,,,
b1c22,142,charge-high,V_std,0.0958809600400469,,,,,
b1c23,894,charge-high,V_std,0.4702620341084142,,,,,
b1c23,930,charge-high,V_std,0.4702927739467532,,,,,
b1c23,935,charge-high,V_std,0.4718992208429456,,,,,
b1c23,945,charge-high,V_std,0.4699868752937432,,,,,
b1c23,957,charge-high,V_std,0.4698085723601192,,,,,
b1c23,958,charge-high,V_std,0.4698049439899828,,,,,
b1c23,960,charge-high,V_std,0.4716772632363974,,,,,
b1c23,962,charge-high,V_std,0.4718625904499055,,,,,
b1c23,963,charge-high,V_std,0.4703018668538624,,,,,
b1c23,967,charge-high,V_std,0.4758685143936924,,,,,
b1c23,969,charge-high,V_std,0.472017969703136,,,,,
b1c23,970,charge-high,V_std,0.4703832101925211,,,,,
b1c23,974,charge-high,V_std,0.4727467421719128,,,,,
b1c23,976,charge-high,V_std,0.4716332861571382,,,,,
b1c23,977,charge-high,V_std,0.4727440706066908,,,,,
b1c23,979,charge-high,V_std,0.4757002605117605,,,,,
b1c23,981,charge-high,V_std,0.4739468998363086,,,,,
b1c23,983,charge-high,V_std,0.4701626401895588,,,,,
b1c23,984,charge-high,V_std,0.4733564749145676,,,,,
b1c23,985,charge-high,V_std,0.4738185167069074,,,,,
b1c23,987,charge-high,V_std,0.4708489780592979,,,,,
b1c23,988,charge-high,V_std,0.4732701821851464,,,,,
b1c23,989,charge-high,V_std,0.4764611909517604,,,,,
b1c23,990,charge-high,V_std,0.4700414383254081,,,,,
b1c23,991,charge-high,V_std,0.4699183511891031,,,,,
b1c23,992,charge-high,V_std,0.4789289846350603,,,,,
b1c23,994,charge-high,V_std,0.4711184831711147,,,,,
b1c23,995,charge-high,V_std,0.4747802793664557,,,,,
b1c23,996,charge-high,V_std,0.4712344913408136,,,,,
b1c23,997,charge-high,V_std,0.4773763982846774,,,,,
b1c23,998,charge-high,V_std,0.4727517497469274,,,,,
b1c23,999,charge-high,V_std,0.478390831434806,,,,,
b1c23,1000,charge-high,V_std,0.4765270428016746,,,,,
b1c23,1002,charge-high,V_std,0.4736769672198287,,,,,
b1c23,1003,charge-high,V_std,0.4709103063976895,,,,,
b1c23,1004,charge-high,V_std,0.4725498639533378,,,,,
b1c23,1006,charge-high,V_std,0.4710929790084608,,,,,
b1c23,1007,charge-high,V_std,0.4706687299006463,,,,,
b1c23,1008,charge-high,V_std,0.472071839211744,,,,,
b1c23,1009,charge-high,V_std,0.478095474452537,,,,,
b1c23,1010,charge-high,V_std,0.4747517747467809,,,,,
b1c24,976,charge-high,V_std,0.4706916169124626,,,,,
b1c24,978,charge-high,V_std,0.4708049322061928,,,,,
b1c24,980,charge-high,V_std,0.474844911396853,,,,,
b1c24,982,charge-high,V_std,0.4737851160182751,,,,,
b1c24,984,charge-high,V_std,0.4701250777403783,,,,,
b1c24,986,charge-high,V_std,0.4720438090451866,,,,,
b1c24,990,charge-high,V_std,0.471745039904899,,,,,
b1c24,998,charge-high,V_std,0.4712569078267252,,,,,
b1c24,1001,charge-high,V_std,0.475840784151453,,,,,
b1c24,1002,charge-high,V_std,0.4726489624454199,,,,,
b1c24,1003,charge-high,V_std,0.4709021666135796,,,,,
b1c24,1006,charge-high,V_std,0.4709904674724302,,,,,
b1c26,823,charge-high,V_std,0.4699748214344589,,,,,
b1c26,857,charge-high,V_std,0.4702749648092687,,,,,
b1c26,864,charge-high,V_std,0.4725863197713429,,,,,
b1c26,867,charge-high,V_std,0.4709841667971496,,,,,
b1c27,759,charge-high,V_std,0.4700217327206079,,,,,
b1c27,826,charge-high,V_std,0.4697954080888589,,,,,
b1c27,830,charge-high,V_std,0.4712660397982449,,,,,
b1c27,831,charge-high,V_std,0.4713775474011049,,,,,
b1c30,695,charge-high,V_std,0.0509549507581567,,,,,
b1c31,831,charge-high,V_std,0.4700987993366483,,,,,
b1c31,834,charge-high,V_std,0.4725284458991993,,,,,
b1c31,846,charge-high,V_std,0.4721307714751196,,,,,
b1c31,853,charge-high,V_std,0.4700231730266638,,,,,
b1c31,858,charge-high,V_std,0.4720637514600647,,,,,
b1c31,866,charge-high,V_std,0.4704229481684417,,,,,
b1c34,708,charge-high,V_std,0.4720174409519654,,,,,
b1c34,716,charge-high,V_std,0.4699198748036743,,,,,
b1c34,719,charge-high,V_std,0.4714032178024815,,,,,
b1c35,144,charge-high,V_std,0.0478590035427219,,,,,
b1c37,141,charge-high,V_std,0.0775275306510442,,,,,
b1c40,891,charge-high,V_std,0.470951942694624,,,,,
b1c40,904,charge-high,V_std,0.4698922445652203,,,,,
b1c40,908,charge-high,V_std,0.4707962985161341,,,,,
b1c40,915,charge-high,V_std,0.4699864902619999,,,,,
b1c40,923,charge-high,V_std,0.47108601161974,,,,,
b1c40,924,charge-high,V_std,0.471242162598922,,,,,
b1c40,926,charge-high,V_std,0.4711920579877304,,,,,
b1c40,946,charge-high,V_std,0.4717591232160312,,,,,
b1c40,950,charge-high,V_std,0.471141682161109,,,,,
b1c41,963,charge-high,V_std,0.4698901739758086,,,,,
b1c41,966,charge-high,V_std,0.4745157128369021,,,,,
b1c41,967,charge-high,V_std,0.4701172579876223,,,,,
b1c41,968,charge-high,V_std,0.4727835439934008,,,,,
b1c41,975,charge-high,V_std,0.4733274420652315,,,,,
b1c41,989,charge-high,V_std,0.4700837733989541,,,,,
b1c41,1035,charge-high,V_std,0.4703569880538863,,,,,
b1c44,145,charge-high,V_std,0.0491980239580491,,,,,
b1c44,227,charge-high,V_std,0.4705204752113066,,,,,
b1c44,228,charge-high,V_std,0.4699044775188782,,,,,
b1c44,286,charge-high,V_std,0.4698946602761356,,,,,
b1c44,289,charge-high,V_std,0.4712069148694183,,,,,
b1c44,294,charge-high,V_std,0.4721662159257668,,,,,
b1c45,118,charge-high,V_std,0.471463844625221,,,,,
b1c45,120,charge-high,V_std,0.4747264875544665,,,,,
b1c45,121,charge-high,V_std,0.4698433898165491,,,,,
b1c45,147,charge-high,V_std,0.5219979802470686,,,,,
b1c45,152,charge-high,V_std,0.4751964996186897,,,,,
b1c45,155,charge-high,V_std,0.4718770986100024,,,,,
b2c3,27,charge-high,V_std,0.2015261395004892,,,,,
b2c6,3,charge-high,V_std,0.1863857649397022,,,,,
b2c6,109,charge-high,V_std,0.2279299767393255,,,,,
