Epoch	Train_Loss	Val_Loss	Epoch_Time(s)
0001	0.043054	0.001379	81.3442
0002	0.006796	0.001193	77.6988
0003	0.005891	0.001121	71.5471
0004	0.005242	0.001078	73.4120
0005	0.004552	0.001045	72.8021
0006	0.003837	0.000998	75.2587
0007	0.003117	0.000970	73.3066
0008	0.002457	0.000835	68.9335
0009	0.001860	0.000674	75.5312
0010	0.001284	0.000444	70.8335
0011	0.000796	0.000236	66.6534
0012	0.000530	0.000157	70.8909
0013	0.000400	0.000136	69.4801
0014	0.000331	0.000139	75.3114
0015	0.000296	0.000128	75.8322
0016	0.000269	0.000148	73.8058
