Epoch	Train_Total	Train_Data	Train_PI	Val_Loss	Epoch_Time(s)
0001	-0.559676	0.027264	0.000215	0.000974	215.2339
0002	-1.689474	0.000838	0.000015	0.000487	220.3173
0003	-2.771144	0.000360	0.000007	0.000556	220.4571
0004	-3.840017	0.000283	0.000006	0.000911	219.5648
0005	-4.892085	0.000241	0.000006	0.000114	219.0103
0006	-5.924672	0.000218	0.000006	0.000369	219.3125
0007	-6.893924	0.000255	0.000013	0.000666	219.5169
0008	-7.669201	0.000249	0.000047	0.001668	219.1313
0009	-8.347430	0.000340	0.000011	0.000631	219.1437
0010	-9.001155	0.000284	0.000010	0.000104	219.0157
0011	-9.725441	0.000255	0.000023	0.000288	219.0819
0012	-10.580456	0.000242	0.000003	0.000109	221.4684
0013	-11.203531	0.000227	0.000008	0.000093	220.7218
0014	-11.843033	0.000323	0.000037	0.000116	221.3443
0015	-12.591276	0.000211	0.000005	0.000273	220.2542
0016	-13.185795	0.000212	0.000021	0.000094	220.9745
0017	-13.723277	0.000188	0.000001	0.000104	221.3213
0018	-14.283321	0.000189	0.000000	0.000097	220.7637
0019	-14.852581	0.000294	0.000024	0.000326	221.1174
0020	-15.486161	0.000312	0.000045	0.000193	220.4229
0021	-16.075659	0.000228	0.000003	0.000098	221.1733
