cell_id,cycle,feature,outlier_removed,interpolated_count
1-1,9,Voltage (V),1,0
1-1,17,Voltage (V),1,0
1-1,23,Voltage (V),1,0
1-1,24,Voltage (V),1,0
1-1,25,Voltage (V),1,0
1-1,26,Voltage (V),1,0
1-1,30,Voltage (V),1,0
1-1,35,Voltage (V),1,0
1-1,36,Voltage (V),1,0
1-1,41,Voltage (V),1,0
1-1,46,Voltage (V),1,0
1-1,49,Voltage (V),1,0
1-1,50,Voltage (V),1,0
1-1,51,Voltage (V),1,0
1-1,56,Voltage (V),1,0
1-1,62,Voltage (V),1,0
1-1,66,Voltage (V),1,0
1-1,71,Voltage (V),1,0
1-1,77,Voltage (V),1,0
1-1,78,Voltage (V),1,0
1-1,79,Voltage (V),1,0
1-1,84,Voltage (V),1,0
1-1,88,Voltage (V),1,0
1-1,96,Voltage (V),1,0
1-1,97,Voltage (V),1,0
1-1,108,Voltage (V),1,0
1-1,109,Voltage (V),1,0
1-1,116,Voltage (V),1,0
1-1,117,Voltage (V),1,0
1-1,125,Voltage (V),1,0
1-1,130,Voltage (V),1,0
1-1,145,Voltage (V),1,0
1-1,146,Voltage (V),1,0
1-1,152,Voltage (V),1,0
1-1,153,Voltage (V),1,0
1-1,154,Voltage (V),1,0
1-1,163,Voltage (V),1,0
1-1,191,Voltage (V),1,0
1-1,192,Voltage (V),1,0
2-8,29,Voltage (V),1,0
4-3,11,Voltage (V),1,0
4-3,16,Voltage (V),1,0
4-3,19,Voltage (V),1,0
4-3,22,Voltage (V),1,0
4-3,24,Voltage (V),1,0
4-3,25,Voltage (V),1,0
4-3,26,Voltage (V),1,0
4-3,30,Voltage (V),1,0
4-3,35,Voltage (V),1,0
4-3,39,Voltage (V),1,0
4-3,44,Voltage (V),1,0
4-3,48,Voltage (V),1,0
4-3,49,Voltage (V),1,0
4-3,53,Voltage (V),1,0
4-3,58,Voltage (V),1,0
4-3,71,Voltage (V),1,0
4-3,78,Voltage (V),1,0
4-3,85,Voltage (V),1,0
4-3,90,Voltage (V),1,0
4-3,100,Voltage (V),1,0
4-3,108,Voltage (V),1,0
4-3,114,Voltage (V),1,0
4-3,135,Voltage (V),1,0
4-3,169,Voltage (V),1,0
7-3,1,Voltage (V),1,0
7-3,2,Voltage (V),1,0
7-3,3,Voltage (V),1,0
7-3,4,Voltage (V),1,0
7-3,5,Voltage (V),1,0
7-3,6,Voltage (V),1,0
7-3,7,Voltage (V),1,0
7-3,8,Voltage (V),1,0
7-3,9,Voltage (V),1,0
7-3,10,Voltage (V),1,0
7-3,11,Voltage (V),1,0
7-3,12,Voltage (V),1,0
7-3,13,Voltage (V),1,0
7-3,14,Voltage (V),1,0
7-3,15,Voltage (V),1,0
7-3,16,Voltage (V),1,0
7-3,17,Voltage (V),1,0
7-3,18,Voltage (V),1,0
7-3,19,Voltage (V),1,0
7-3,20,Voltage (V),1,0
7-3,21,Voltage (V),1,0
7-3,22,Voltage (V),1,0
7-3,23,Voltage (V),1,0
7-3,24,Voltage (V),1,0
7-3,25,Voltage (V),1,0
7-3,26,Voltage (V),1,0
7-3,27,Voltage (V),1,0
7-3,28,Voltage (V),1,0
7-3,29,Voltage (V),1,0
7-3,30,Voltage (V),1,0
7-3,31,Voltage (V),1,0
7-3,32,Voltage (V),1,0
7-3,33,Voltage (V),1,0
7-3,34,Voltage (V),1,0
7-3,35,Voltage (V),1,0
7-3,36,Voltage (V),1,0
7-3,37,Voltage (V),1,0
7-3,38,Voltage (V),1,0
7-3,39,Voltage (V),1,0
7-3,40,Voltage (V),1,0
7-3,41,Voltage (V),1,0
7-3,42,Voltage (V),1,0
7-3,43,Voltage (V),1,0
7-3,44,Voltage (V),1,0
7-3,45,Voltage (V),1,0
7-3,46,Voltage (V),1,0
7-3,47,Voltage (V),1,0
7-3,48,Voltage (V),1,0
7-3,49,Voltage (V),1,0
7-3,50,Voltage (V),1,0
7-3,51,Voltage (V),1,0
7-3,52,Voltage (V),1,0
7-3,53,Voltage (V),1,0
7-3,54,Voltage (V),1,0
7-3,55,Voltage (V),1,0
7-3,56,Voltage (V),1,0
7-3,57,Voltage (V),1,0
7-3,58,Voltage (V),1,0
7-3,59,Voltage (V),1,0
7-3,60,Voltage (V),1,0
7-3,61,Voltage (V),1,0
7-3,62,Voltage (V),1,0
7-3,63,Voltage (V),1,0
7-3,64,Voltage (V),1,0
7-3,65,Voltage (V),1,0
7-3,66,Voltage (V),1,0
7-3,67,Voltage (V),1,0
7-3,68,Voltage (V),1,0
7-3,69,Voltage (V),1,0
7-3,70,Voltage (V),1,0
7-3,71,Voltage (V),1,0
7-3,72,Voltage (V),1,0
7-3,73,Voltage (V),1,0
7-3,74,Voltage (V),1,0
7-3,75,Voltage (V),1,0
7-3,76,Voltage (V),1,0
7-3,77,Voltage (V),1,0
7-3,78,Voltage (V),1,0
7-3,79,Voltage (V),1,0
7-3,80,Voltage (V),1,0
7-3,81,Voltage (V),1,0
7-3,82,Voltage (V),1,0
7-3,83,Voltage (V),1,0
7-3,84,Voltage (V),1,0
7-3,85,Voltage (V),1,0
7-3,86,Voltage (V),1,0
7-3,87,Voltage (V),1,0
7-3,88,Voltage (V),1,0
7-3,89,Voltage (V),1,0
7-3,90,Voltage (V),1,0
7-3,91,Voltage (V),1,0
7-3,92,Voltage (V),1,0
7-3,93,Voltage (V),1,0
7-3,94,Voltage (V),1,0
7-3,95,Voltage (V),1,0
7-3,96,Voltage (V),1,0
7-3,97,Voltage (V),1,0
7-3,98,Voltage (V),1,0
7-3,99,Voltage (V),1,0
7-3,100,Voltage (V),1,0
7-3,101,Voltage (V),1,0
7-3,102,Voltage (V),1,0
7-3,103,Voltage (V),1,0
7-3,104,Voltage (V),1,0
7-3,105,Voltage (V),1,0
7-3,106,Voltage (V),1,0
7-3,107,Voltage (V),1,0
7-3,108,Voltage (V),1,0
7-3,109,Voltage (V),1,0
7-3,110,Voltage (V),1,0
7-3,111,Voltage (V),1,0
7-3,112,Voltage (V),1,0
7-3,114,Voltage (V),1,0
7-3,115,Voltage (V),1,0
7-3,116,Voltage (V),1,0
7-3,117,Voltage (V),1,0
7-3,118,Voltage (V),1,0
7-3,119,Voltage (V),1,0
7-3,120,Voltage (V),1,0
7-3,121,Voltage (V),1,0
7-3,122,Voltage (V),1,0
7-3,123,Voltage (V),1,0
7-3,124,Voltage (V),1,0
7-3,125,Voltage (V),1,0
7-3,126,Voltage (V),1,0
7-3,127,Voltage (V),1,0
7-3,128,Voltage (V),1,0
7-3,129,Voltage (V),1,0
7-3,130,Voltage (V),1,0
7-3,131,Voltage (V),1,0
7-3,132,Voltage (V),1,0
7-3,133,Voltage (V),1,0
7-3,134,Voltage (V),1,0
7-3,135,Voltage (V),1,0
7-3,136,Voltage (V),1,0
7-3,137,Voltage (V),1,0
7-3,138,Voltage (V),1,0
7-3,139,Voltage (V),1,0
7-3,140,Voltage (V),1,0
7-3,141,Voltage (V),1,0
7-3,142,Voltage (V),1,0
7-3,143,Voltage (V),1,0
7-3,144,Voltage (V),1,0
7-3,145,Voltage (V),1,0
7-3,146,Voltage (V),1,0
7-3,147,Voltage (V),1,0
7-3,148,Voltage (V),1,0
7-3,149,Voltage (V),1,0
7-3,150,Voltage (V),1,0
7-3,151,Voltage (V),1,0
7-3,152,Voltage (V),1,0
7-3,153,Voltage (V),1,0
7-3,154,Voltage (V),1,0
7-3,156,Voltage (V),1,0
7-3,157,Voltage (V),1,0
7-3,158,Voltage (V),1,0
7-3,159,Voltage (V),1,0
7-3,160,Voltage (V),1,0
7-3,161,Voltage (V),1,0
7-3,162,Voltage (V),1,0
7-3,163,Voltage (V),1,0
7-3,164,Voltage (V),1,0
7-3,166,Voltage (V),1,0
7-3,167,Voltage (V),1,0
7-3,169,Voltage (V),1,0
7-3,170,Voltage (V),1,0
7-3,171,Voltage (V),1,0
7-3,172,Voltage (V),1,0
7-3,173,Voltage (V),1,0
7-3,174,Voltage (V),1,0
7-3,175,Voltage (V),1,0
7-3,177,Voltage (V),1,0
7-3,178,Voltage (V),1,0
7-3,179,Voltage (V),1,0
7-3,180,Voltage (V),1,0
7-3,181,Voltage (V),1,0
7-3,182,Voltage (V),1,0
7-3,183,Voltage (V),1,0
7-3,185,Voltage (V),1,0
7-3,186,Voltage (V),1,0
7-3,187,Voltage (V),1,0
7-3,188,Voltage (V),1,0
7-3,189,Voltage (V),1,0
7-3,190,Voltage (V),1,0
7-3,191,Voltage (V),1,0
7-3,192,Voltage (V),1,0
7-3,193,Voltage (V),1,0
7-3,194,Voltage (V),1,0
7-3,195,Voltage (V),1,0
7-3,196,Voltage (V),1,0
7-3,197,Voltage (V),1,0
7-3,198,Voltage (V),1,0
7-3,199,Voltage (V),1,0
