========================================================================================================================
HUST DEGRADATION MILESTONES: FULL CELL REPORT
========================================================================================================================
Cell ID    | RMS C-rate | 5% (cyc) | 10%(cyc) | 15%(cyc) | EOL(cyc) | EOL(hrs)
------------------------------------------------------------------------------------------------------------------------
7-3        |       1.77 |      619 |      894 |     1055 |     1295 |   1549.7
4-2        |       1.97 |      871 |     1233 |     1446 |     1782 |   2168.1
10-4       |       2.00 |      913 |     1278 |     1487 |     1811 |   2102.8
7-4        |       2.01 |      674 |      970 |     1139 |     1393 |   1536.6
7-8        |       2.01 |      971 |     1324 |     1564 |     1938 |   2232.5
10-8       |       2.11 |      583 |      900 |     1082 |     1400 |   1580.4
1-1        |       2.15 |      659 |      986 |     1187 |     1504 |   1745.9
7-5        |       2.16 |      946 |     1324 |     1551 |     1875 |   2101.6
8-5        |       2.16 |      635 |      910 |     1080 |     1348 |   1444.6
4-7        |       2.22 |      745 |     1279 |     1563 |     2216 |   2612.4
4-3        |       2.23 |      532 |      777 |      923 |     1142 |   1231.1
9-2        |       2.28 |      959 |     1387 |     1676 |     2143 |   2378.7
7-6        |       2.29 |      668 |      976 |     1150 |     1419 |   1493.5
10-7       |       2.29 |      830 |     1197 |     1424 |     1783 |   1904.8
8-1        |       2.31 |      619 |      890 |     1053 |     1308 |   1332.7
10-6       |       2.32 |      760 |     1346 |     1642 |     2285 |   2531.9
5-4        |       2.39 |      810 |     1266 |     1505 |     1962 |   2080.8
4-4        |       2.39 |      655 |      990 |     1190 |     1491 |   1553.1
9-7        |       2.40 |      911 |     1341 |     1614 |     2012 |   2190.3
7-7        |       2.40 |      748 |     1130 |     1354 |     1685 |   1923.2
10-5       |       2.41 |      968 |     1391 |     1650 |     2030 |   2142.8
1-2        |       2.41 |      806 |     1503 |     1944 |     2678 |   3025.4
1-6        |       2.42 |      295 |      616 |      811 |     1143 |   1411.3
8-6        |       2.47 |      759 |     1391 |     1729 |     2365 |   2500.3
8-2        |       2.48 |      683 |     1269 |     1551 |     2041 |   2122.1
4-5        |       2.51 |      635 |     1003 |     1207 |     1561 |   1653.8
6-1        |       2.52 |      637 |     1006 |     1242 |     1609 |   1664.4
4-8        |       2.56 |      862 |     1186 |     1383 |     1706 |   1762.9
2-3        |       2.59 |      917 |     1232 |     1404 |     1751 |   1860.0
1-3        |       2.59 |      942 |     1293 |     1504 |     1858 |   1981.9
9-3        |       2.63 |      878 |     1270 |     1522 |     1905 |   1926.2
8-3        |       2.63 |      987 |     1490 |     1810 |     2290 |   2291.9
6-6        |       2.63 |     1047 |     1534 |     1886 |     2468 |   2775.1
4-6        |       2.63 |      545 |      876 |     1076 |     1380 |   1401.1
8-7        |       2.68 |      886 |     1328 |     1579 |     2047 |   1937.3
2-8        |       2.72 |      635 |      986 |     1180 |     1481 |   1511.4
1-4        |       2.73 |      786 |     1056 |     1203 |     1500 |   1577.1
5-1        |       2.74 |      752 |     1381 |     1805 |     2507 |   2549.5
8-4        |       2.76 |      819 |     1258 |     1502 |     1885 |   1796.5
5-5        |       2.76 |      741 |     1024 |     1231 |     1583 |   1563.7
9-8        |       2.77 |     1100 |     1543 |     1839 |     2308 |   2250.9
1-7        |       2.78 |      686 |     1080 |     1307 |     1678 |   1648.2
3-5        |       2.79 |      746 |     1468 |     1852 |     2657 |   2917.5
9-4        |       2.82 |      884 |     1313 |     1584 |     1975 |   1935.5
8-8        |       2.83 |      767 |     1113 |     1330 |     1679 |   1636.1
1-5        |       2.84 |      815 |     1197 |     1515 |     1971 |   2043.3
6-2        |       2.90 |      912 |     1247 |     1481 |     1908 |   1884.7
5-2        |       2.91 |      954 |     1328 |     1557 |     1926 |   1864.5
5-6        |       2.95 |      736 |     1387 |     1781 |     2460 |   2391.7
9-1        |       2.95 |      862 |     1320 |     1635 |     2057 |   2013.0
1-8        |       2.98 |      813 |     1358 |     1712 |     2285 |   2181.5
10-1       |       2.98 |      738 |     1145 |     1365 |     1702 |   1552.1
2-4        |       2.98 |      585 |      929 |     1150 |     1499 |   1416.6
9-5        |       2.99 |      915 |     1394 |     1698 |     2168 |   2061.4
5-3        |       3.01 |      797 |     1530 |     1995 |     2689 |   2641.2
9-6        |       3.12 |      695 |     1113 |     1370 |     1742 |   1653.4
10-2       |       3.12 |      746 |     1130 |     1375 |     1697 |   1590.9
6-3        |       3.13 |      850 |     1212 |     1424 |     1804 |   1702.8
5-7        |       3.14 |      634 |      961 |     1157 |     1448 |   1304.4
3-1        |       3.14 |      883 |     1296 |     1562 |     1938 |   1847.6
2-2        |       3.23 |      746 |     1570 |     1994 |     2651 |   2631.9
6-8        |       3.24 |      612 |     1300 |     1679 |     2450 |   2365.6
2-5        |       3.24 |      650 |      901 |     1087 |     1386 |   1289.4
10-3       |       3.27 |      708 |     1197 |     1462 |     1848 |   1656.5
3-6        |       3.28 |     1072 |     1614 |     1961 |     2491 |   2327.0
6-4        |       3.31 |      666 |     1061 |     1316 |     1717 |   1511.9
3-2        |       3.37 |      943 |     1417 |     1760 |     2283 |   2108.0
2-6        |       3.39 |      789 |     1112 |     1293 |     1572 |   1454.1
6-5        |       3.43 |      757 |     1331 |     1662 |     2178 |   1931.8
7-1        |       3.44 |      637 |     1043 |     1291 |     1690 |   1478.8
2-7        |       3.52 |      997 |     1492 |     1781 |     2202 |   2022.8
3-7        |       3.54 |      926 |     1519 |     1854 |     2479 |   2125.7
3-3        |       3.57 |      754 |     1127 |     1352 |     1649 |   1463.9
7-2        |       3.57 |      777 |     1297 |     1627 |     2030 |   1830.4
3-8        |       3.68 |      940 |     1482 |     1839 |     2342 |   2138.4
3-4        |       3.72 |      661 |     1104 |     1374 |     1766 |   1490.8
4-1        |       3.86 |      704 |     1316 |     1738 |     2217 |   1881.4
