Cell ID	Intensity	EOL_cyc	EOL_time	5%_cyc	5%_time	10%_cyc	10%_time	15%_cyc	15%_time
7-3	1.7724943749015356	1295	1549.6833333333334	619	740.7366666666667	894	1069.82	1055	1262.4833333333333
4-2	1.9718884355635191	1782	2168.1	871	1059.7166666666667	1233	1500.15	1446	1759.3
10-4	2.0049452374619863	1811	2102.7722222222224	913	1060.0944444444444	1278	1483.9	1487	1726.5722222222223
7-4	2.0114945080608932	1393	1536.556388888889	674	743.4594444444444	970	1069.963888888889	1139	1256.3802777777778
7-8	2.0118751428379738	1938	2232.4683333333332	971	1118.5380555555555	1324	1525.1744444444444	1564	1801.641111111111
10-8	2.1103654291276435	1400	1580.4444444444443	583	658.1422222222222	900	1016.0	1082	1221.4577777777777
1-1	2.1473694527573874	1504	1745.8933333333334	659	764.9891666666666	986	1144.5816666666667	1187	1377.9091666666666
7-5	2.162722286002023	1875	2101.5625	946	1060.3083333333334	1324	1483.9833333333333	1551	1738.4125
8-5	2.1642094715986246	1348	1444.6066666666666	635	680.5083333333333	910	975.2166666666667	1080	1157.4
4-7	2.2219723537463048	2216	2612.4177777777777	745	878.2722222222222	1279	1507.798888888889	1563	1842.6033333333332
4-3	2.2321938695042998	1142	1231.1394444444445	532	573.5255555555556	777	837.6491666666667	923	995.0452777777778
9-2	2.283472342606529	2143	2378.73	959	1064.49	1387	1539.57	1676	1860.36
7-6	2.287508277841666	1419	1493.4975	668	703.07	976	1027.24	1150	1210.375
10-7	2.293767805324957	1783	1904.8383333333334	830	886.7166666666667	1197	1278.795	1424	1521.3066666666666
8-1	2.308989252954324	1308	1332.7066666666667	619	630.6922222222222	890	906.8111111111111	1053	1072.89
10-6	2.3174864435340057	2285	2531.9069444444444	760	842.1222222222223	1346	1491.4427777777778	1642	1819.4272222222223
5-4	2.388952941653108	1962	2080.81	810	859.05	1266	1342.6633333333334	1505	1596.1361111111112
4-4	2.3920770750668794	1491	1553.125	655	682.2916666666666	990	1031.25	1190	1239.5833333333333
9-7	2.395620336617922	2012	2190.2855555555557	911	991.7247222222222	1341	1459.8275	1614	1757.0183333333334
7-7	2.398820247788562	1685	1923.2402777777777	748	853.7588888888889	1130	1289.7694444444444	1354	1545.4405555555556
10-5	2.4114886284795642	2030	2142.777777777778	968	1021.7777777777778	1391	1468.2777777777778	1650	1741.6666666666667
1-2	2.414739080300081	2678	3025.396111111111	806	910.5561111111111	1503	1697.9725	1944	2196.18
1-6	2.416447254019389	1143	1411.2875	295	364.24305555555554	616	760.5888888888888	811	1001.3597222222222
8-6	2.470966082248814	2365	2500.3305555555557	759	802.4316666666666	1391	1470.5961111111112	1729	1827.9372222222223
8-2	2.479001040285475	2041	2122.0730555555556	683	710.1302777777778	1269	1319.4075	1551	1612.6091666666666
4-5	2.5080240899565016	1561	1653.7927777777777	635	672.7472222222223	1003	1062.6227777777779	1207	1278.7494444444444
6-1	2.517041221567895	1609	1664.421111111111	637	658.9411111111111	1006	1040.651111111111	1242	1284.78
4-8	2.559957871985078	1706	1762.8666666666666	862	890.7333333333333	1186	1225.5333333333333	1383	1429.1
2-3	2.5931598843538533	1751	1859.951111111111	917	974.0577777777778	1232	1308.6577777777777	1404	1491.36
1-3	2.59435616234128	1858	1981.8666666666666	942	1004.8	1293	1379.2	1504	1604.2666666666667
9-3	2.6266267538151937	1905	1926.1666666666667	878	887.7555555555556	1270	1284.111111111111	1522	1538.911111111111
8-3	2.626969275381794	2290	2291.9083333333333	987	987.8225	1490	1491.2416666666666	1810	1811.5083333333334
6-6	2.6317925971727534	2468	2775.128888888889	1047	1177.2933333333333	1534	1724.8977777777777	1886	2120.702222222222
4-6	2.632824138364509	1380	1401.0833333333333	545	553.3263888888889	876	889.3833333333333	1076	1092.4388888888889
8-7	2.6847909923360413	2047	1937.2580555555555	886	838.5005555555556	1328	1256.8044444444445	1579	1494.3480555555554
2-8	2.715987743440136	1481	1511.4427777777778	635	648.0527777777778	986	1006.2677777777777	1180	1204.2555555555555
1-4	2.725042094731758	1500	1577.0833333333333	786	826.3916666666667	1056	1110.2666666666667	1203	1264.8208333333334
5-1	2.7366984988556555	2507	2549.4797222222223	752	764.7422222222223	1381	1404.4002777777778	1805	1835.5847222222221
8-4	2.7610141056093176	1885	1796.5097222222223	819	780.5525	1258	1198.943888888889	1502	1431.4894444444444
5-5	2.7612945051275024	1583	1563.6522222222222	741	731.9433333333334	1024	1011.4844444444444	1231	1215.9544444444443
9-8	2.7651680732818353	2308	2250.9411111111112	1100	1072.8055555555557	1543	1504.8536111111111	1839	1793.5358333333334
1-7	2.7768640882250413	1678	1648.168888888889	686	673.8044444444445	1080	1060.8	1307	1283.7644444444445
3-5	2.7935744790324004	2657	2917.533611111111	746	819.1494444444445	1468	1611.9455555555555	1852	2033.598888888889
9-4	2.8241167489778323	1975	1935.5	884	866.32	1313	1286.74	1584	1552.32
8-8	2.829452409735338	1679	1636.0922222222223	767	747.3988888888889	1113	1084.5566666666666	1330	1296.0111111111112
1-5	2.842111522441002	1971	2043.27	815	844.8833333333333	1197	1240.89	1515	1570.55
6-2	2.9046583853613908	1908	1884.68	912	900.8533333333334	1247	1231.7588888888888	1481	1462.898888888889
5-2	2.9118079675655153	1926	1864.475	954	923.525	1328	1285.5777777777778	1557	1507.2625
5-6	2.946746439049156	2460	2391.6666666666665	736	715.5555555555555	1387	1348.4722222222222	1781	1731.5277777777778
9-1	2.95338282263066	2057	2013.0030555555556	862	843.5627777777778	1320	1291.7666666666667	1635	1600.0291666666667
1-8	2.9764949957415805	2285	2181.5402777777776	813	776.1891666666667	1358	1296.5127777777777	1712	1634.4844444444445
10-1	2.976500457103401	1702	1552.1294444444445	738	673.015	1145	1044.1763888888888	1365	1244.8041666666666
2-4	2.9825242796198843	1499	1416.555	585	552.825	929	877.905	1150	1086.75
9-5	2.9873715431511054	2168	2061.4066666666668	915	870.0125	1394	1325.4616666666666	1698	1614.515
5-3	3.0124236470040673	2689	2641.1955555555555	797	782.8311111111111	1530	1502.8	1995	1959.5333333333333
9-6	3.11606606030109	1742	1653.4483333333333	695	659.6708333333333	1113	1056.4225	1370	1300.3583333333333
10-2	3.122580190581203	1697	1590.9375	746	699.375	1130	1059.375	1375	1289.0625
6-3	3.1268150063034033	1804	1702.7755555555555	850	802.3055555555555	1212	1143.9933333333333	1424	1344.0977777777778
5-7	3.13633837120593	1448	1304.4066666666668	634	571.1283333333333	961	865.7008333333333	1157	1042.2641666666666
3-1	3.1398109359457402	1938	1847.56	883	841.7933333333333	1296	1235.52	1562	1489.1066666666666
2-2	3.225734550792669	2651	2631.853888888889	746	740.6122222222223	1570	1558.661111111111	1994	1979.598888888889
6-8	3.237383535297334	2450	2365.6111111111113	612	590.92	1300	1255.2222222222222	1679	1621.1677777777777
2-5	3.240386564517101	1386	1289.365	650	604.6805555555555	901	838.1802777777777	1087	1011.2119444444445
