cell_id,cycle,feature,outlier_removed,interpolated_count,"outlier_details_(idx,val)",nan_indices,outlier_details
1-1,14,GLOBAL_REMOVAL,1,0.0,Cycle removed by removal_index.csv,,
1-1,17,GLOBAL_REMOVAL,1,0.0,Cycle removed by removal_index.csv,,
1-1,18,GLOBAL_REMOVAL,1,0.0,Cycle removed by removal_index.csv,,
1-1,19,GLOBAL_REMOVAL,1,0.0,Cycle removed by removal_index.csv,,
1-1,20,GLOBAL_REMOVAL,1,0.0,Cycle removed by removal_index.csv,,
1-1,21,GLOBAL_REMOVAL,1,0.0,Cycle removed by removal_index.csv,,
1-1,22,GLOBAL_REMOVAL,1,0.0,Cycle removed by removal_index.csv,,
1-1,23,GLOBAL_REMOVAL,1,0.0,Cycle removed by removal_index.csv,,
1-1,1410,GLOBAL_REMOVAL,1,0.0,Cycle removed by removal_index.csv,,
1-1,1423,GLOBAL_REMOVAL,1,0.0,Cycle removed by removal_index.csv,,
1-1,1427,GLOBAL_REMOVAL,1,0.0,Cycle removed by removal_index.csv,,
1-1,1428,GLOBAL_REMOVAL,1,0.0,Cycle removed by removal_index.csv,,
1-1,1429,GLOBAL_REMOVAL,1,0.0,Cycle removed by removal_index.csv,,
1-1,1434,GLOBAL_REMOVAL,1,0.0,Cycle removed by removal_index.csv,,
1-1,1435,GLOBAL_REMOVAL,1,0.0,Cycle removed by removal_index.csv,,
1-1,1436,GLOBAL_REMOVAL,1,0.0,Cycle removed by removal_index.csv,,
1-1,1438,GLOBAL_REMOVAL,1,0.0,Cycle removed by removal_index.csv,,
1-1,1439,GLOBAL_REMOVAL,1,0.0,Cycle removed by removal_index.csv,,
1-1,1440,GLOBAL_REMOVAL,1,0.0,Cycle removed by removal_index.csv,,
1-1,1441,GLOBAL_REMOVAL,1,0.0,Cycle removed by removal_index.csv,,
1-1,1442,GLOBAL_REMOVAL,1,0.0,Cycle removed by removal_index.csv,,
1-1,1443,GLOBAL_REMOVAL,1,0.0,Cycle removed by removal_index.csv,,
1-1,1445,GLOBAL_REMOVAL,1,0.0,Cycle removed by removal_index.csv,,
1-1,1446,GLOBAL_REMOVAL,1,0.0,Cycle removed by removal_index.csv,,
1-1,1447,GLOBAL_REMOVAL,1,0.0,Cycle removed by removal_index.csv,,
1-1,1450,GLOBAL_REMOVAL,1,0.0,Cycle removed by removal_index.csv,,
1-1,1451,GLOBAL_REMOVAL,1,0.0,Cycle removed by removal_index.csv,,
1-1,1453,GLOBAL_REMOVAL,1,0.0,Cycle removed by removal_index.csv,,
1-1,1454,GLOBAL_REMOVAL,1,0.0,Cycle removed by removal_index.csv,,
1-1,1455,GLOBAL_REMOVAL,1,0.0,Cycle removed by removal_index.csv,,
1-1,1457,GLOBAL_REMOVAL,1,0.0,Cycle removed by removal_index.csv,,
1-1,1458,GLOBAL_REMOVAL,1,0.0,Cycle removed by removal_index.csv,,
1-1,1459,GLOBAL_REMOVAL,1,0.0,Cycle removed by removal_index.csv,,
1-1,1460,GLOBAL_REMOVAL,1,0.0,Cycle removed by removal_index.csv,,
1-1,1461,GLOBAL_REMOVAL,1,0.0,Cycle removed by removal_index.csv,,
1-1,1462,GLOBAL_REMOVAL,1,0.0,Cycle removed by removal_index.csv,,
1-1,1463,GLOBAL_REMOVAL,1,0.0,Cycle removed by removal_index.csv,,
1-1,1464,GLOBAL_REMOVAL,1,0.0,Cycle removed by removal_index.csv,,
1-1,1465,GLOBAL_REMOVAL,1,0.0,Cycle removed by removal_index.csv,,
1-1,1466,GLOBAL_REMOVAL,1,0.0,Cycle removed by removal_index.csv,,
1-1,1467,GLOBAL_REMOVAL,1,0.0,Cycle removed by removal_index.csv,,
1-1,1468,GLOBAL_REMOVAL,1,0.0,Cycle removed by removal_index.csv,,
1-1,1469,GLOBAL_REMOVAL,1,0.0,Cycle removed by removal_index.csv,,
1-1,1470,GLOBAL_REMOVAL,1,0.0,Cycle removed by removal_index.csv,,
1-1,1471,GLOBAL_REMOVAL,1,0.0,Cycle removed by removal_index.csv,,
1-1,1472,GLOBAL_REMOVAL,1,0.0,Cycle removed by removal_index.csv,,
1-1,1473,GLOBAL_REMOVAL,1,0.0,Cycle removed by removal_index.csv,,
1-1,1474,GLOBAL_REMOVAL,1,0.0,Cycle removed by removal_index.csv,,
1-1,1475,GLOBAL_REMOVAL,1,0.0,Cycle removed by removal_index.csv,,
1-1,1476,GLOBAL_REMOVAL,1,0.0,Cycle removed by removal_index.csv,,
1-1,1477,GLOBAL_REMOVAL,1,0.0,Cycle removed by removal_index.csv,,
1-1,1478,GLOBAL_REMOVAL,1,0.0,Cycle removed by removal_index.csv,,
1-1,1479,GLOBAL_REMOVAL,1,0.0,Cycle removed by removal_index.csv,,
1-1,1480,GLOBAL_REMOVAL,1,0.0,Cycle removed by removal_index.csv,,
1-1,1481,GLOBAL_REMOVAL,1,0.0,Cycle removed by removal_index.csv,,
1-1,1482,GLOBAL_REMOVAL,1,0.0,Cycle removed by removal_index.csv,,
1-1,1483,GLOBAL_REMOVAL,1,0.0,Cycle removed by removal_index.csv,,
1-1,1484,GLOBAL_REMOVAL,1,0.0,Cycle removed by removal_index.csv,,
1-1,1485,GLOBAL_REMOVAL,1,0.0,Cycle removed by removal_index.csv,,
1-1,1486,GLOBAL_REMOVAL,1,0.0,Cycle removed by removal_index.csv,,
1-1,1487,GLOBAL_REMOVAL,1,0.0,Cycle removed by removal_index.csv,,
1-1,1488,GLOBAL_REMOVAL,1,0.0,Cycle removed by removal_index.csv,,
1-1,1489,GLOBAL_REMOVAL,1,0.0,Cycle removed by removal_index.csv,,
1-1,1490,GLOBAL_REMOVAL,1,0.0,Cycle removed by removal_index.csv,,
1-1,1491,GLOBAL_REMOVAL,1,0.0,Cycle removed by removal_index.csv,,
1-1,1492,GLOBAL_REMOVAL,1,0.0,Cycle removed by removal_index.csv,,
1-1,1493,GLOBAL_REMOVAL,1,0.0,Cycle removed by removal_index.csv,,
1-1,1494,GLOBAL_REMOVAL,1,0.0,Cycle removed by removal_index.csv,,
1-1,1495,GLOBAL_REMOVAL,1,0.0,Cycle removed by removal_index.csv,,
1-1,1496,GLOBAL_REMOVAL,1,0.0,Cycle removed by removal_index.csv,,
1-1,1497,GLOBAL_REMOVAL,1,0.0,Cycle removed by removal_index.csv,,
1-1,1498,GLOBAL_REMOVAL,1,0.0,Cycle removed by removal_index.csv,,
1-1,1499,GLOBAL_REMOVAL,1,0.0,Cycle removed by removal_index.csv,,
1-1,1500,GLOBAL_REMOVAL,1,0.0,Cycle removed by removal_index.csv,,
1-1,1501,GLOBAL_REMOVAL,1,0.0,Cycle removed by removal_index.csv,,
1-1,1502,GLOBAL_REMOVAL,1,0.0,Cycle removed by removal_index.csv,,
1-1,1503,GLOBAL_REMOVAL,1,0.0,Cycle removed by removal_index.csv,,
1-1,1504,GLOBAL_REMOVAL,1,0.0,Cycle removed by removal_index.csv,,
1-2,1,GLOBAL_REMOVAL,1,0.0,Cycle removed by removal_index.csv,,
1-2,1217,GLOBAL_REMOVAL,1,0.0,Cycle removed by removal_index.csv,,
1-2,1220,GLOBAL_REMOVAL,1,0.0,Cycle removed by removal_index.csv,,
1-2,1229,GLOBAL_REMOVAL,1,0.0,Cycle removed by removal_index.csv,,
1-2,1230,GLOBAL_REMOVAL,1,0.0,Cycle removed by removal_index.csv,,
1-2,1238,GLOBAL_REMOVAL,1,0.0,Cycle removed by removal_index.csv,,
1-2,1266,GLOBAL_REMOVAL,1,0.0,Cycle removed by removal_index.csv,,
1-2,1337,GLOBAL_REMOVAL,1,0.0,Cycle removed by removal_index.csv,,
1-2,1338,GLOBAL_REMOVAL,1,0.0,Cycle removed by removal_index.csv,,
1-2,1343,GLOBAL_REMOVAL,1,0.0,Cycle removed by removal_index.csv,,
1-2,1657,GLOBAL_REMOVAL,1,0.0,Cycle removed by removal_index.csv,,
1-2,1687,GLOBAL_REMOVAL,1,0.0,Cycle removed by removal_index.csv,,
1-2,1830,GLOBAL_REMOVAL,1,0.0,Cycle removed by removal_index.csv,,
1-2,1831,GLOBAL_REMOVAL,1,0.0,Cycle removed by removal_index.csv,,
1-2,1832,GLOBAL_REMOVAL,1,0.0,Cycle removed by removal_index.csv,,
1-2,1851,GLOBAL_REMOVAL,1,0.0,Cycle removed by removal_index.csv,,
1-2,1897,GLOBAL_REMOVAL,1,0.0,Cycle removed by removal_index.csv,,
1-2,2041,GLOBAL_REMOVAL,1,0.0,Cycle removed by removal_index.csv,,
1-2,2042,GLOBAL_REMOVAL,1,0.0,Cycle removed by removal_index.csv,,
1-2,2054,GLOBAL_REMOVAL,1,0.0,Cycle removed by removal_index.csv,,
1-2,2055,GLOBAL_REMOVAL,1,0.0,Cycle removed by removal_index.csv,,
1-2,2056,GLOBAL_REMOVAL,1,0.0,Cycle removed by removal_index.csv,,
1-2,2059,GLOBAL_REMOVAL,1,0.0,Cycle removed by removal_index.csv,,
1-2,2060,GLOBAL_REMOVAL,1,0.0,Cycle removed by removal_index.csv,,
1-2,2061,GLOBAL_REMOVAL,1,0.0,Cycle removed by removal_index.csv,,
1-2,2062,GLOBAL_REMOVAL,1,0.0,Cycle removed by removal_index.csv,,
1-2,2066,GLOBAL_REMOVAL,1,0.0,Cycle removed by removal_index.csv,,
1-2,2088,GLOBAL_REMOVAL,1,0.0,Cycle removed by removal_index.csv,,
1-2,2090,GLOBAL_REMOVAL,1,0.0,Cycle removed by removal_index.csv,,
1-2,2100,GLOBAL_REMOVAL,1,0.0,Cycle removed by removal_index.csv,,
1-2,2101,GLOBAL_REMOVAL,1,0.0,Cycle removed by removal_index.csv,,
1-2,2117,GLOBAL_REMOVAL,1,0.0,Cycle removed by removal_index.csv,,
1-2,2378,GLOBAL_REMOVAL,1,0.0,Cycle removed by removal_index.csv,,
1-2,2381,GLOBAL_REMOVAL,1,0.0,Cycle removed by removal_index.csv,,
1-2,2389,GLOBAL_REMOVAL,1,0.0,Cycle removed by removal_index.csv,,
1-2,2397,GLOBAL_REMOVAL,1,0.0,Cycle removed by removal_index.csv,,
1-2,2398,GLOBAL_REMOVAL,1,0.0,Cycle removed by removal_index.csv,,
1-2,2411,GLOBAL_REMOVAL,1,0.0,Cycle removed by removal_index.csv,,
1-2,2452,GLOBAL_REMOVAL,1,0.0,Cycle removed by removal_index.csv,,
1-2,2454,GLOBAL_REMOVAL,1,0.0,Cycle removed by removal_index.csv,,
1-3,1,GLOBAL_REMOVAL,1,0.0,Cycle removed by removal_index.csv,,
1-3,2,GLOBAL_REMOVAL,1,0.0,Cycle removed by removal_index.csv,,
1-3,3,GLOBAL_REMOVAL,1,0.0,Cycle removed by removal_index.csv,,
1-3,4,GLOBAL_REMOVAL,1,0.0,Cycle removed by removal_index.csv,,
1-3,5,GLOBAL_REMOVAL,1,0.0,Cycle removed by removal_index.csv,,
1-3,19,GLOBAL_REMOVAL,1,0.0,Cycle removed by removal_index.csv,,
1-3,20,GLOBAL_REMOVAL,1,0.0,Cycle removed by removal_index.csv,,
1-3,33,GLOBAL_REMOVAL,1,0.0,Cycle removed by removal_index.csv,,
1-4,1,GLOBAL_REMOVAL,1,0.0,Cycle removed by removal_index.csv,,
1-4,2,GLOBAL_REMOVAL,1,0.0,Cycle removed by removal_index.csv,,
1-4,3,GLOBAL_REMOVAL,1,0.0,Cycle removed by removal_index.csv,,
1-4,4,GLOBAL_REMOVAL,1,0.0,Cycle removed by removal_index.csv,,
1-4,5,GLOBAL_REMOVAL,1,0.0,Cycle removed by removal_index.csv,,
1-4,6,GLOBAL_REMOVAL,1,0.0,Cycle removed by removal_index.csv,,
1-4,7,GLOBAL_REMOVAL,1,0.0,Cycle removed by removal_index.csv,,
1-4,13,GLOBAL_REMOVAL,1,0.0,Cycle removed by removal_index.csv,,
1-4,20,GLOBAL_REMOVAL,1,0.0,Cycle removed by removal_index.csv,,
1-4,23,GLOBAL_REMOVAL,1,0.0,Cycle removed by removal_index.csv,,
1-4,25,GLOBAL_REMOVAL,1,0.0,Cycle removed by removal_index.csv,,
1-4,26,GLOBAL_REMOVAL,1,0.0,Cycle removed by removal_index.csv,,
