cell_id,cycle,feature,outlier_removed,interpolated_count,"outlier_details_(idx,val)",nan_indices,outlier_details
b1c18,50,Temperature (°C),14,0.0,"[(982, 35.321), (983, 35.321), (984, 35.331), (985, 35.3813), (986, 35.3422), (987, 35.3422), (988, 35.3873), (989, 35.3813), (990, 35.3813), (991, 35.4013), (992, 35.3577), (993, 35.2683), (994, 35.2555), (995, 35.2555)]",,
b1c18,51,Temperature (°C),10,0.0,"[(995, 35.248), (996, 35.2391), (997, 35.2561), (998, 35.2561), (999, 35.3071), (1000, 35.305), (1001, 35.305), (1002, 35.258), (1003, 35.258), (1004, 35.2714)]",,
b3c37,53,Voltage (V),116,0.0,"[(0, 2.1352), (1, 2.1524), (2, 2.1698), (3, 2.1896), (4, 2.2177), (5, 2.2427), (6, 2.2685), (7, 2.3031), (8, 2.3322), (9, 2.362), (10, 2.3924), (44083, 2.4168), (44084, 2.4063), (44085, 2.3962), (44086, 2.3857), (44087, 2.375), (44088, 2.3641), (44089, 2.3523), (44090, 2.342), (44091, 2.3319), (44092, 2.3205), (44093, 2.3103), (44094, 2.2995), (44095, 2.2892), (44096, 2.2786), (44097, 2.2677), (44098, 2.2576), (44099, 2.2474), (44100, 2.2373), (44101, 2.2264), (44102, 2.2146), (44103, 2.2028), (44104, 2.1925), (44105, 2.1815), (44106, 2.1709), (44107, 2.1604), (44108, 2.1491), (44109, 2.1384), (44110, 2.1256), (44111, 2.1154), (44112, 2.1044), (44113, 2.0931), (44114, 2.082), (44115, 2.0708), (44116, 2.0595), (44117, 2.0486), (44118, 2.037), (44119, 2.0241), (44120, 2.0129), (44121, 2.0317), (44122, 2.0193), (44123, 2.0071), (44124, 1.996), (44125, 1.9988), (44126, 2.0), (44127, 2.0022), (44128, 2.0008), (44129, 1.9988), (44130, 1.9988), (44131, 2.0012), (44132, 2.0009), (44133, 1.9984), (44134, 1.9984), (44135, 1.9992), (44136, 2.0021), (44137, 2.0004), (44138, 1.9983), (44139, 1.9987), (44140, 2.0006), (44141, 2.0009), (44142, 2.0004), (44143, 1.9985), (44144, 1.9985), (44145, 2.0017), (44146, 2.0012), (44147, 1.999), (44148, 1.9991), (44149, 1.9995), (44150, 2.0018), (44151, 2.0009), (44152, 1.9985), (44153, 1.9985), (44154, 2.0014), (44155, 2.0015), (44156, 2.0004), (44157, 1.9993), (44158, 1.9989), (44159, 2.0011), (44160, 2.0006), (44161, 1.9991), (44162, 1.9989), (44163, 2.0), (44164, 2.001), (44165, 1.9999), (44166, 1.9992), (44167, 1.9993), (44168, 2.0018), (44169, 2.0005), (44170, 1.9986), (44171, 1.9983), (44172, 2.0011), (44173, 2.001), (44174, 1.9987), (44175, 1.9982), (44176, 2.0002), (44177, 2.0002), (44178, 2.0), (44179, 1.9999), (44180, 2.0), (44181, 2.0001), (44182, 2.0002), (44183, 2.0343), (44184, 2.059), (44185, 2.0808), (44186, 2.1006), (44187, 2.1183)]",,
b3c37,357,Voltage (V),42,0.0,"[(20481, 1.9997), (20482, 2.0), (20483, 2.0), (20484, 2.0), (20485, 2.0001), (20486, 1.9999), (20487, 2.0), (20488, 2.0001), (20489, 1.9999), (20490, 2.0), (20491, 2.0001), (20492, 2.0001), (20493, 1.9999), (20494, 2.0), (20495, 2.0), (20496, 2.0001), (20497, 1.9999), (20498, 2.0002), (20499, 1.9999), (20500, 2.0), (20501, 2.0), (20502, 1.9999), (20503, 2.0), (20504, 1.9999), (20505, 2.0001), (20506, 1.9999), (20507, 1.9999), (20508, 2.0), (20509, 2.0001), (20510, 2.0001), (20511, 2.0002), (20512, 2.0002), (20513, 2.0), (20514, 1.9999), (20515, 2.0), (20516, 2.0), (20517, 1.9999), (20518, 2.0), (20519, 2.0003), (20520, 1.9998), (20521, 1.9999), (20522, 2.0001)]",,
b3c37,367,Time (s),88,0.0,"[(41873, 812.4446), (41874, 812.4456), (41875, 812.4466), (41876, 812.4477), (41877, 812.4487), (41878, 812.4497), (41879, 812.4507), (41880, 812.4514), (41881, 812.4524), (41882, 812.4552), (41883, 812.4603), (41884, 812.4657), (41885, 812.4717), (41886, 812.4779), (41887, 812.4837), (41888, 812.4897), (41889, 812.4955), (41890, 812.5014), (41891, 812.507), (41892, 812.5125), (41893, 812.5179), (41894, 812.5231), (41895, 812.5282), (41896, 812.5333), (41897, 812.538), (41898, 812.5427), (41899, 812.547), (41900, 812.5514), (41901, 812.5554), (41902, 812.5593), (41903, 812.5632), (41904, 812.5668), (41905, 812.57), (41906, 812.5733), (41907, 812.5762), (41908, 812.579), (41909, 812.582), (41910, 812.5849), (41911, 812.587), (41912, 812.5895), (41913, 812.5916), (41914, 812.5938), (41915, 812.5956), (41916, 812.5977), (41917, 812.5995), (41918, 812.6009), (41919, 812.6023), (41920, 812.6038), (41921, 812.6053), (41922, 812.6067), (41923, 812.6081), (41924, 812.6093), (41925, 812.6103), (41926, 812.6114), (41927, 812.6125), (41928, 812.6136), (41929, 812.6143), (41930, 812.6154), (41931, 812.6161), (41932, 812.6169), (41933, 812.6176), (41934, 812.6183), (41935, 812.619), (41936, 812.6197), (41937, 812.6205), (41938, 812.6212), (41939, 812.6219), (41940, 812.6227), (41941, 812.6234), (41942, 812.6241), (41943, 812.6248), (41944, 812.6257), (41945, 812.6263), (41946, 812.627), (41947, 812.7107), (41948, 812.794), (41949, 812.8776), (41950, 812.9612), (41951, 813.0449), (41952, 813.1284), (41953, 813.212), (41954, 813.2716), (41955, 813.2895), (41956, 813.3061), (41957, 813.3228), (41958, 813.3394), (41959, 813.3559), (41960, 813.3559)]",,
b3c37,1214,Voltage (V),108,0.0,"[(0, 2.1367), (1, 2.1519), (2, 2.1671), (3, 2.1859), (4, 2.2014), (5, 2.2186), (6, 2.2367), (7, 2.2559), (8, 2.2696), (9, 2.2906), (27034, 2.3112), (27035, 2.3011), (27036, 2.2909), (27037, 2.2808), (27038, 2.2707), (27039, 2.2607), (27040, 2.2505), (27041, 2.2401), (27042, 2.2301), (27043, 2.2199), (27044, 2.2097), (27045, 2.1997), (27046, 2.189), (27047, 2.1787), (27048, 2.1684), (27049, 2.1582), (27050, 2.1481), (27051, 2.138), (27052, 2.1278), (27053, 2.1174), (27054, 2.1073), (27055, 2.0972), (27056, 2.087), (27057, 2.0768), (27058, 2.0658), (27059, 2.0557), (27060, 2.0457), (27061, 2.0357), (27062, 2.0256), (27063, 2.0144), (27064, 2.0413), (27065, 2.0313), (27066, 2.0193), (27067, 2.0091), (27068, 1.9986), (27069, 1.9998), (27070, 1.9998), (27071, 1.9999), (27072, 1.9999), (27073, 1.9999), (27074, 1.9999), (27075, 2.0), (27076, 1.9999), (27077, 1.9999), (27078, 2.0001), (27079, 2.0001), (27080, 2.0001), (27081, 1.9998), (27082, 2.0001), (27083, 1.9999), (27084, 2.0), (27085, 1.9998), (27086, 1.9997), (27087, 2.0001), (27088, 2.0001), (27089, 2.0), (27090, 2.0001), (27091, 1.9999), (27092, 2.0001), (27093, 2.0), (27094, 2.0001), (27095, 2.0001), (27096, 2.0002), (27097, 1.9999), (27098, 2.0001), (27099, 1.9999), (27100, 1.9999), (27101, 2.0), (27102, 2.0001), (27103, 2.0), (27104, 2.0), (27105, 2.0001), (27106, 2.0001), (27107, 2.0001), (27108, 2.0002), (27109, 2.0), (27110, 1.9999), (27111, 1.9999), (27112, 1.9999), (27113, 2.0), (27114, 2.0), (27115, 2.0002), (27116, 2.0), (27117, 1.9998), (27118, 1.9999), (27119, 1.9999), (27120, 2.0), (27121, 2.0001), (27122, 2.0002), (27123, 1.9999), (27124, 2.0), (27125, 1.9998), (27126, 2.0001), (27127, 2.0357), (27128, 2.0628), (27129, 2.0866), (27130, 2.1075), (27131, 2.1268)]",,
b3c37,1216,Voltage (V),54,0.0,"[(17853, 2.0407), (17854, 2.0306), (17855, 2.0203), (17856, 2.01), (17857, 2.0416), (17858, 2.0313), (17859, 2.0212), (17860, 2.0104), (17861, 1.9993), (17862, 1.9998), (17863, 2.0), (17864, 1.9999), (17865, 2.0001), (17866, 1.9999), (17867, 2.0001), (17868, 2.0001), (17869, 1.9999), (17870, 2.0), (17871, 2.0), (17872, 2.0002), (17873, 2.0), (17874, 2.0), (17875, 2.0), (17876, 2.0), (17877, 1.9999), (17878, 2.0), (17879, 2.0002), (17880, 2.0003), (17881, 1.9999), (17882, 2.0001), (17883, 2.0001), (17884, 2.0002), (17885, 2.0), (17886, 2.0), (17887, 2.0), (17888, 2.0), (17889, 2.0001), (17890, 2.0), (17891, 2.0002), (17892, 2.0), (17893, 2.0002), (17894, 1.9998), (17895, 1.9999), (17896, 2.0002), (17897, 1.9999), (17898, 2.0002), (17899, 2.0001), (17900, 2.0001), (17901, 2.0002), (17902, 1.9999), (17903, 1.9999), (17904, 1.9999), (17905, 2.0001), (17906, 2.0352)]",,
b1c0,11,Consistency(>5%),True,,,,"RelErr:345.11%,SumQ:1.075,IntQ:4.784"
b1c0,12,Consistency(>5%) & Magnitude(>1.4Ah),True,,,,"RelErr:30.95%,SumQ:1.539,IntQ:1.063"
b1c2,1485,Consistency(>5%),True,,,,"RelErr:413.37%,SumQ:1.025,IntQ:5.260"
