============================================================================================================================================
                                     MIT-STANFORD DATASET: FULL CELL AUDIT REPORT
============================================================================================================================================
Generated on: 2026-04-01 20:56:55.111279

* Analysis based on the first available cycle of each cell.
---------------------------------------------------------------------------------------------------------------------------------------
Cell ID         |   Life |  Smp(s) |   Chg(s) |   Dis(s) | Init Q(Ah) |  Init IR | Policy
---------------------------------------------------------------------------------------------------------------------------------------
b1c0            |   1190 |    3.00 |      0.0 |      0.0 |     0.0000 |  0.00000 | 3.6C(80%)-3.6C
b1c1            |   1179 |    2.99 |      0.0 |      0.0 |     0.0000 |  0.00000 | 3.6C(80%)-3.6C
b1c10           |    906 |    2.87 |      0.0 |      0.0 |     0.0000 |  0.00000 | 5.4C(50%)-3C
b1c11           |    788 |    2.89 |      0.0 |      0.0 |     0.0000 |  0.00000 | 5.4C(50%)-3C
b1c12           |    902 |    2.84 |      0.0 |      0.0 |     0.0000 |  0.00000 | 5.4C(50%)-3.6C
b1c13           |    897 |    2.87 |      0.0 |      0.0 |     0.0000 |  0.00000 | 5.4C(50%)-3.6C
b1c14           |    880 |    2.87 |      0.0 |      0.0 |     0.0000 |  0.00000 | 5.4C(60%)-3C
b1c15           |    719 |    2.90 |      0.0 |      0.0 |     0.0000 |  0.00000 | 5.4C(60%)-3C
b1c16           |    862 |    2.84 |      0.0 |      0.0 |     0.0000 |  0.00000 | 5.4C(60%)-3.6C
b1c17           |    857 |    2.82 |      0.0 |      0.0 |     0.0000 |  0.00000 | 5.4C(60%)-3.6C
b1c18           |    691 |  135.22 |      0.0 |      0.0 |     0.0000 |  0.00000 | 5.4C(70%)-3C
b1c19           |    788 |    2.89 |      0.0 |      0.0 |     0.0000 |  0.00000 | 5.4C(70%)-3C
b1c2            |   1177 |    2.91 |      0.0 |      0.0 |     0.0000 |  0.00000 | 3.6C(80%)-3.6C
b1c20           |    534 |    2.85 |      0.0 |      0.0 |     0.0000 |  0.00000 | 5.4C(80%)-5.4C
b1c21           |    559 |    2.86 |      0.0 |      0.0 |     0.0000 |  0.00000 | 5.4C(80%)-5.4C
b1c22           |    891 |    2.90 |      0.0 |      0.0 |     0.0000 |  0.00000 | 6C(30%)-3.6C
b1c23           |   1014 |    2.85 |      0.0 |      0.0 |     0.0000 |  0.00000 | 6C(30%)-3.6C
b1c24           |   1017 |    2.90 |      0.0 |      0.0 |     0.0000 |  0.00000 | 6C(40%)-3C
b1c25           |    854 |    2.86 |      0.0 |      0.0 |     0.0000 |  0.00000 | 6C(40%)-3C
b1c26           |    870 |    2.84 |      0.0 |      0.0 |     0.0000 |  0.00000 | 6C(40%)-3.6C
b1c27           |    842 |    2.82 |      0.0 |      0.0 |     0.0000 |  0.00000 | 6C(40%)-3.6C
b1c28           |    860 |    2.84 |      0.0 |      0.0 |     0.0000 |  0.00000 | 6C(50%)-3C
b1c29           |    917 |    2.88 |      0.0 |      0.0 |     0.0000 |  0.00000 | 6C(50%)-3C
b1c3            |   1226 |    2.93 |      0.0 |      0.0 |     0.0000 |  0.00000 | 4C(80%)-4C
b1c30           |    709 |    2.87 |      0.0 |      0.0 |     0.0000 |  0.00000 | 6C(50%)-3.6C
b1c31           |    876 |    2.84 |      0.0 |      0.0 |     0.0000 |  0.00000 | 6C(50%)-3.6C
b1c32           |    731 |    2.77 |      0.0 |      0.0 |     0.0000 |  0.00000 | 6C(60%)-3C
b1c33           |    757 |    2.82 |      0.0 |      0.0 |     0.0000 |  0.00000 | 6C(60%)-3C
b1c34           |    742 |    2.87 |      0.0 |      0.0 |     0.0000 |  0.00000 | 7C(30%)-3.6C
b1c35           |    703 |    2.82 |      0.0 |      0.0 |     0.0000 |  0.00000 | 7C(30%)-3.6C
b1c36           |    704 |    2.84 |      0.0 |      0.0 |     0.0000 |  0.00000 | 7C(40%)-3C
b1c37           |    648 |    2.88 |      0.0 |      0.0 |     0.0000 |  0.00000 | 7C(40%)-3C
b1c38           |    617 |    2.88 |      0.0 |      0.0 |     0.0000 |  0.00000 | 7C(40%)-3.6C
b1c39           |    625 |    2.85 |      0.0 |      0.0 |     0.0000 |  0.00000 | 7C(40%)-3.6C
b1c4            |   1227 |    3.06 |      0.0 |      0.0 |     0.0000 |  0.00000 | 4C(80%)-4C
b1c40           |    966 |    2.85 |      0.0 |      0.0 |     0.0000 |  0.00000 | 8C(15%)-3.6C
b1c41           |   1051 |    2.88 |      0.0 |      0.0 |     0.0000 |  0.00000 | 8C(15%)-3.6C
b1c42           |    702 |    2.85 |      0.0 |      0.0 |     0.0000 |  0.00000 | 8C(25%)-3.6C
b1c43           |    651 |    2.93 |      0.0 |      0.0 |     0.0000 |  0.00000 | 8C(25%)-3.6C
b1c44           |    616 |    2.88 |      0.0 |      0.0 |     0.0000 |  0.00000 | 8C(35%)-3.6C
b1c45           |    599 |    2.85 |      0.0 |      0.0 |     0.0000 |  0.00000 | 8C(35%)-3.6C
b1c5            |   1074 |    2.95 |      0.0 |      0.0 |     0.0000 |  0.00000 | 4.4C(80%)-4.4C
b1c6            |    636 |    2.93 |      0.0 |      0.0 |     0.0000 |  0.00000 | 4.8C(80%)-4.8C
b1c7            |    870 |    2.92 |      0.0 |      0.0 |     0.0000 |  0.00000 | 4.8C(80%)-4.8C
b1c8            |    879 |    2.77 |      0.0 |      0.0 |     0.0000 |  0.00000 | 5.4C(40%)-3.6C
b1c9            |   1054 |    2.83 |      0.0 |      0.0 |     0.0000 |  0.00000 | 5.4C(40%)-3.6C
b2c0            |    300 |    2.86 |      0.0 |      0.0 |     1.0681 |  0.01754 | 1C(4%)-6C
b2c1            |    148 |    2.87 |      0.0 |      0.0 |     1.0692 |  0.01785 | 2C(10%)-6C
b2c10           |    561 |    3.13 |      0.0 |      0.0 |     1.0651 |  0.01839 | 3.6C(9%)-5C
b2c11           |    477 |    3.00 |      0.0 |      0.0 |     1.0680 |  0.01775 | 4C(13%)-5C
b2c12           |    458 |    2.97 |      0.0 |      0.0 |     1.0676 |  0.01731 | 4C(31%)-5
b2c13           |    483 |    2.86 |      0.0 |      0.0 |     1.0761 |  0.01726 | 4C(40%)-6C
b2c14           |    485 |    3.04 |      0.0 |      0.0 |     1.0743 |  0.01732 | 4C(4%)-4.85C
b2c15           |    209 |    2.85 |      0.0 |      0.0 |     0.9721 |  0.01671 | 80%)-4C
b2c16           |    483 |    2.83 |      0.0 |      0.0 |     1.0075 |  0.01728 | 80%)-4C
b2c17           |    494 |    3.00 |      0.0 |      0.0 |     1.0649 |  0.01772 | 4.4C(24%)-5C
b2c18           |    487 |    2.95 |      0.0 |      0.0 |     1.0610 |  0.01769 | 4.4C(47%)-5.5C
b2c19           |    461 |    2.73 |      0.0 |      0.0 |     1.0454 |  0.01786 | 4.4C(55%)-6C
b2c2            |    438 |    2.98 |      0.0 |      0.0 |     1.0709 |  0.01780 | 2C(2%)-5C
b2c20           |    502 |    3.06 |      0.0 |      0.0 |     1.0787 |  0.01767 | 4.4C(8%)-4.85C
b2c21           |    489 |    3.06 |      0.0 |      0.0 |     1.0719 |  0.01798 | 4.65C(19%)-4.85C
b2c22           |    513 |    3.03 |      0.0 |      0.0 |     1.0757 |  0.01743 | 4.65C(44%)-5C
b2c23           |    527 |    2.83 |      0.0 |      0.0 |     1.0714 |  0.01784 | 4.65C(69%)-6C
b2c24           |    495 |    3.04 |      0.0 |      0.0 |     1.0640 |  0.01744 | 4.8C(80%)-4.8C
b2c25           |    461 |    3.03 |      0.0 |      0.0 |     1.0641 |  0.01775 | 4.8C(80%)-4.8C
b2c26           |    471 |    3.05 |      0.0 |      0.0 |     1.0734 |  0.01807 | 4.8C(80%)-4.8C
b2c27           |    468 |    2.99 |      0.0 |      0.0 |     1.0624 |  0.01765 | 4.9C(27%)-4.75C
b2c28           |    509 |    3.02 |      0.0 |      0.0 |     1.0682 |  0.01731 | 4.9C(61%)-4.5C
b2c29           |    498 |    3.05 |      0.0 |      0.0 |     1.0699 |  0.01714 | 4.9C(69%)-4.25C
b2c3            |    335 |    2.31 |      0.0 |      0.0 |     1.0639 |  0.01705 | 2C(7%)-5.5C
b2c30           |    481 |    3.03 |      0.0 |      0.0 |     1.0635 |  0.01788 | 5.2C(10%)-4.75C
b2c31           |    492 |    2.99 |      0.0 |      0.0 |     1.0695 |  0.01776 | 5.2C(37%)-4.5C
b2c32           |    519 |    3.04 |      0.0 |      0.0 |     1.0712 |  0.01766 | 5.2C(50%)-4.25C
b2c33           |    520 |    3.09 |      0.0 |      0.0 |     1.0759 |  0.01771 | 5.2C(58%)-4C
b2c34           |    499 |    3.07 |      0.0 |      0.0 |     1.0650 |  0.01778 | 5.2C(66%)-3.5C
b2c35           |    463 |    3.09 |      0.0 |      0.0 |     1.0651 |  0.01756 | 5.2C(71%)-3C
b2c36           |    535 |    3.07 |      0.0 |      0.0 |     1.0754 |  0.02037 | 5.6C(25%)-4.5C
b2c37           |    478 |    3.04 |      0.0 |      0.0 |     1.0712 |  0.01834 | 5.6C(38%)-4.25C
b2c38           |    465 |    2.99 |      0.0 |      0.0 |     1.0661 |  0.01791 | 5.6C(47%)-4C
b2c39           |    459 |    2.99 |      0.0 |      0.0 |     1.0744 |  0.01818 | 5.6C(58%)-3.5C
b2c4            |    444 |    2.95 |      0.0 |      0.0 |     1.0692 |  0.01703 | 3.6C(22%)-5.5C
b2c40           |    499 |    3.01 |      0.0 |      0.0 |     1.0736 |  0.01750 | 5.6C(5%)-4.75C
b2c41           |    429 |    2.57 |      0.0 |      0.0 |     1.0648 |  0.01793 | 5.6C(65%)-3C
b2c42           |    466 |    2.90 |      0.0 |      0.0 |     1.0746 |  0.01740 | 6C(20%)-4.5C
b2c43           |    462 |    2.87 |      0.0 |      0.0 |     1.0692 |  0.01828 | 6C(31%)-4.25C
