cell_id,cycle,scenario,count
b1c0,6,charge-high,179
b1c0,8,charge-high,183
b1c0,9,charge-high,181
b1c0,10,charge-high,181
b1c0,19,charge-high,185
b1c0,20,charge-high,187
b1c0,21,charge-high,178
b1c0,22,charge-high,183
b1c0,23,charge-high,182
b1c0,25,charge-high,179
b1c0,32,charge-high,187
b1c0,35,charge-high,180
b1c0,37,charge-high,181
b1c0,40,charge-high,178
b1c0,41,charge-high,186
b1c0,42,charge-high,178
b1c0,43,charge-high,180
b1c0,44,charge-high,183
b1c0,47,charge-high,184
b1c0,49,charge-high,179
b1c0,52,charge-high,183
b1c0,61,charge-high,185
b1c0,63,charge-high,178
b1c0,72,charge-high,180
b1c0,73,charge-high,182
b1c0,74,charge-high,183
b1c0,75,charge-high,181
b1c0,77,charge-high,178
b1c0,79,charge-high,180
b1c0,80,charge-high,183
b1c0,81,charge-high,184
b1c0,83,charge-high,182
b1c0,84,charge-high,185
b1c0,86,charge-high,180
b1c0,88,charge-high,181
b1c0,92,charge-high,179
b1c0,94,charge-high,182
b1c0,95,charge-high,179
b1c0,98,charge-high,178
b1c0,100,charge-high,179
b1c0,106,charge-high,181
b1c0,107,charge-high,178
b1c0,108,charge-high,180
b1c0,111,charge-high,179
b1c0,112,charge-high,181
b1c0,113,charge-high,180
b1c0,116,charge-high,182
b1c0,118,charge-high,180
b1c0,120,charge-high,178
b1c0,122,charge-high,179
b1c0,129,charge-high,183
b1c0,130,charge-high,180
b1c0,134,charge-high,180
b1c0,136,charge-high,184
b1c0,140,charge-high,180
b1c0,142,charge-high,182
b1c0,144,charge-high,187
b1c0,146,charge-high,183
b1c0,147,charge-high,185
b1c0,149,charge-high,369
b1c0,150,charge-high,181
b1c0,151,charge-high,186
b1c0,152,charge-high,183
b1c0,157,charge-high,180
b1c0,165,charge-high,182
b1c0,171,charge-high,183
b1c0,174,charge-high,186
b1c0,185,charge-high,183
b1c0,188,charge-high,178
b1c0,194,charge-high,180
b1c0,196,charge-high,178
b1c0,198,charge-high,183
b1c0,201,charge-high,180
b1c0,203,charge-high,180
b1c0,205,charge-high,180
b1c0,207,charge-high,179
b1c0,208,charge-high,179
b1c0,209,charge-high,181
b1c0,210,charge-high,180
b1c0,211,charge-high,178
b1c0,213,charge-high,179
b1c0,214,charge-high,178
b1c0,216,charge-high,180
b1c0,225,charge-high,179
b1c0,232,charge-high,179
b1c0,236,charge-high,182
b1c0,239,charge-high,180
b1c0,241,charge-high,178
b1c0,242,charge-high,180
b1c0,243,charge-high,179
b1c0,244,charge-high,181
b1c0,246,charge-high,180
b1c0,247,charge-high,179
b1c0,248,charge-high,183
b1c0,250,charge-high,181
b1c0,256,charge-high,187
b1c0,259,charge-high,183
b1c0,260,charge-high,180
b1c0,262,charge-high,179
b1c0,264,charge-high,180
b1c0,266,charge-high,179
b1c0,267,charge-high,181
b1c0,268,charge-high,179
b1c0,269,charge-high,179
b1c0,272,charge-high,178
b1c0,273,charge-high,183
b1c0,275,charge-high,181
b1c0,276,charge-high,182
b1c0,277,charge-high,181
b1c0,281,charge-high,180
b1c0,282,charge-high,178
b1c0,283,charge-high,180
b1c0,290,charge-high,186
b1c0,291,charge-high,183
b1c0,297,charge-high,179
b1c0,302,charge-high,178
b1c0,303,charge-high,181
b1c0,305,charge-high,181
b1c0,306,charge-high,181
b1c0,308,charge-high,184
b1c0,312,charge-high,179
b1c0,317,charge-high,184
b1c0,318,charge-high,183
b1c0,324,charge-high,179
b1c0,327,charge-high,178
b1c0,331,charge-high,182
b1c0,332,charge-high,182
b1c0,333,charge-high,181
b1c0,334,charge-high,178
b1c0,335,charge-high,186
b1c0,341,charge-high,187
b1c0,345,charge-high,178
b1c0,348,charge-high,179
b1c0,349,charge-high,183
b1c0,350,charge-high,183
b1c0,355,charge-high,178
b1c0,357,charge-high,179
b1c0,359,charge-high,187
b1c0,360,charge-high,182
b1c0,361,charge-high,183
b1c0,363,charge-high,181
b1c0,365,charge-high,181
b1c0,367,charge-high,178
b1c0,371,charge-high,183
b1c0,372,charge-high,180
b1c0,373,charge-high,181
b1c0,374,charge-high,180
b1c0,376,charge-high,189
b1c0,378,charge-high,178
b1c0,381,charge-high,181
b1c0,385,charge-high,178
b1c0,387,charge-high,186
b1c0,393,charge-high,178
b1c0,394,charge-high,180
b1c0,395,charge-high,178
b1c0,403,charge-high,182
b1c0,404,charge-high,180
b1c0,407,charge-high,179
b1c0,421,charge-high,180
b1c0,441,charge-high,182
b1c0,453,charge-high,178
b1c0,455,charge-high,181
b1c0,460,charge-high,179
b1c0,469,charge-high,178
b1c0,471,charge-high,180
b1c0,475,charge-high,182
b1c0,477,charge-high,180
b1c0,487,charge-high,184
b1c0,493,charge-high,182
b1c0,499,charge-high,178
b1c0,502,charge-high,179
b1c0,506,charge-high,180
b1c0,508,charge-high,179
b1c0,513,charge-high,178
b1c0,514,charge-high,182
b1c0,518,charge-high,179
b1c0,521,charge-high,188
b1c0,553,charge-high,183
b1c0,554,charge-high,179
b1c0,562,charge-high,184
b1c0,568,charge-high,179
b1c0,571,charge-high,182
b1c0,576,charge-high,179
b1c0,579,charge-high,186
b1c0,581,charge-high,178
b1c0,584,charge-high,178
b1c0,585,charge-high,179
b1c0,597,charge-high,178
b1c0,599,charge-high,178
b1c0,603,charge-high,184
b1c0,604,charge-high,185
b1c0,619,charge-high,178
b1c0,623,charge-high,178
b1c0,634,charge-high,179
b1c0,641,charge-high,180
b1c0,643,charge-high,179
b1c0,648,charge-high,179
b1c0,665,charge-high,188
b1c0,670,charge-high,181
b1c0,672,charge-high,188
b1c0,675,charge-high,183
b1c0,676,charge-high,180
b1c0,677,charge-high,180
b1c0,679,charge-high,179
b1c0,680,charge-high,183
b1c0,681,charge-high,178
b1c0,684,charge-high,184
b1c0,685,charge-high,178
b1c0,690,charge-high,179
b1c0,701,charge-high,178
b1c0,723,charge-high,182
b1c0,726,charge-high,178
b1c0,727,charge-high,181
b1c0,729,charge-high,182
b1c0,732,charge-high,181
b1c0,742,charge-high,180
b1c0,761,charge-high,183
b1c0,772,charge-high,180
b1c0,785,charge-high,180
b1c0,792,charge-high,180
b1c0,802,charge-high,179
b1c0,811,charge-high,180
b1c0,812,charge-high,178
b1c0,853,charge-high,179
b1c0,854,charge-high,181
b1c0,871,charge-high,181
b1c0,872,charge-high,184
b1c0,875,charge-high,186
b1c0,885,charge-high,180
b1c0,891,charge-high,179
b1c0,894,charge-high,179
b1c0,896,charge-high,179
b1c0,897,charge-high,178
b1c0,898,charge-high,178
b1c0,902,charge-high,181
b1c0,907,charge-high,178
b1c0,913,charge-high,185
b1c0,915,charge-high,181
b1c0,918,charge-high,181
b1c0,939,charge-high,178
b1c0,942,charge-high,181
b1c0,946,charge-high,182
b1c0,950,charge-high,179
b1c0,952,charge-high,180
b1c0,956,charge-high,178
b1c0,958,charge-high,179
b1c0,959,charge-high,178
b1c0,960,charge-high,181
b1c0,963,charge-high,181
b1c0,964,charge-high,178
b1c0,979,charge-high,178
b1c0,985,charge-high,183
b1c0,989,charge-high,179
b1c0,990,charge-high,180
b1c0,1002,charge-high,183
b1c0,1003,charge-high,183
b1c0,1012,charge-high,182
b1c0,1020,charge-high,178
b1c0,1024,charge-high,188
b1c0,1026,charge-high,180
b1c0,1027,charge-high,179
b1c0,1029,charge-high,182
b1c0,1030,charge-high,180
b1c0,1031,charge-high,189
b1c0,1034,charge-high,179
b1c0,1040,charge-high,181
b1c0,1059,charge-high,178
b1c0,1060,charge-high,181
b1c0,1061,charge-high,178
b1c0,1062,charge-high,179
b1c0,1063,charge-high,179
