Status,Cycle number,Current (mA),Voltage (V),Capacity (mAh),Time (s)
Constant current charge,1,5498.13,2.8035,0.0,0
Constant current charge,1,5499.62,3.0025,7.637433333333333,4
Constant current charge,1,5499.25,3.1067,15.27538611111111,9
Constant current charge,1,5500.74,3.1755,22.91416388888889,14
Constant current charge,1,5499.25,3.2263,30.552219444444443,19
Constant current charge,1,5498.51,3.2672,38.18996666666666,24
Constant current charge,1,5499.62,3.301,45.82801111111111,29
Constant current charge,1,5500.74,3.3299,53.46689444444444,34
Constant current charge,1,5499.25,3.3544,61.10567777777778,39
Constant current charge,1,5499.25,3.3754,68.74310555555556,44
Constant current charge,1,5498.13,3.3928,76.38043333333333,49
Constant current charge,1,5500.74,3.4068,84.01931666666667,54
Constant current charge,1,5499.62,3.4179,91.65706666666667,59
Constant current charge,1,5500.74,3.426,99.2970888888889,64
Constant current charge,1,5498.88,3.4322,106.9342,69
Constant current charge,1,5498.51,3.4375,114.57154444444444,74
Constant current charge,1,5499.25,3.4421,122.2093888888889,79
Constant current charge,1,5498.88,3.4455,129.84754444444445,84
Constant current charge,1,5499.25,3.4489,137.48497777777777,89
Constant current charge,1,5498.13,3.4517,145.12283333333335,94
Constant current charge,1,5499.25,3.4545,152.76025555555555,99
Constant current charge,1,5499.25,3.4573,160.3981222222222,104
Constant current charge,1,5499.25,3.4598,168.03605555555555,109
Constant current charge,1,5500.74,3.4623,175.67494444444444,114
Constant current charge,1,5500.74,3.465,183.31392222222223,119
Constant current charge,1,5500.74,3.4675,190.95393333333334,124
Constant current charge,1,5499.62,3.4697,198.59262222222222,129
Constant current charge,1,5499.25,3.4725,206.23046666666667,134
Constant current charge,1,5499.25,3.4747,213.8683111111111,139
Constant current charge,1,5499.25,3.4771,221.50615555555555,144
Constant current charge,1,5499.62,3.4793,229.1441111111111,149
Constant current charge,1,5500.37,3.4815,236.78348888888888,154
Constant current charge,1,5499.25,3.4836,244.42093333333332,159
Constant current charge,1,5500.74,3.4855,252.0593111111111,164
Constant current charge,1,5498.88,3.4877,259.6976666666667,169
Constant current charge,1,5500.37,3.4895,267.33595555555553,174
Constant current charge,1,5499.25,3.4914,274.9742,179
Constant current charge,1,5500.74,3.4929,282.61297777777776,184
Constant current charge,1,5498.88,3.4948,290.2502,189
Constant current charge,1,5499.62,3.4964,297.8882888888889,194
Constant current charge,1,5498.88,3.4976,305.52742222222224,199
Constant current charge,1,5499.25,3.4988,313.16551111111113,204
Constant current charge,1,5499.25,3.5001,320.8035777777778,209
Constant current charge,1,5499.62,3.5013,328.4415333333333,214
Constant current charge,1,5498.51,3.5029,336.08011111111114,219
Constant current charge,1,5499.25,3.5041,343.71742222222224,224
Constant current charge,1,5499.25,3.505,351.35524444444445,229
Constant current charge,1,5498.88,3.506,358.99375555555554,234
Constant current charge,1,5499.25,3.5069,366.6309777777778,239
Constant current charge,1,5499.25,3.5078,374.2688,244
Constant current charge,1,5500.37,3.5088,381.9075111111111,249
Constant current charge,1,5499.25,3.5097,389.54515555555554,254
Constant current charge,1,5498.88,3.5106,397.1835111111111,259
Constant current charge,1,5499.25,3.5115,404.8220888888889,264
Constant current charge,1,5499.25,3.5125,412.4591111111111,269
Constant current charge,1,5500.37,3.5131,420.09724444444447,274
Constant current charge,1,5499.62,3.5137,427.73675555555553,279
