Status,Cycle number,Current (mA),Voltage (V),Capacity (mAh),Time (s)
Constant current charge,2689,5499.25,2.7808,0.0,0
Constant current charge,2689,5499.25,2.9789,7.638261111111111,4
Constant current charge,2689,5498.88,3.0967,15.276525,9
Constant current charge,2689,5500.74,3.173,22.91488888888889,14
Constant current charge,2689,5499.25,3.2291,30.552530555555556,19
Constant current charge,2689,5499.25,3.2728,38.190580555555556,24
Constant current charge,2689,5498.51,3.3079,45.828741666666666,29
Constant current charge,2689,5500.37,3.3358,53.46731111111111,34
Constant current charge,2689,5499.62,3.3562,61.104955555555556,39
Constant current charge,2689,5498.88,3.3705,68.74352777777777,44
Constant current charge,2689,5499.62,3.3807,76.38127777777778,49
Constant current charge,2689,5499.25,3.3891,84.01923333333333,54
Constant current charge,2689,5499.25,3.3965,91.65708333333333,59
Constant current charge,2689,5498.88,3.4033,99.29492222222223,64
Constant current charge,2689,5498.88,3.4102,106.93298888888889,69
Constant current charge,2689,5499.62,3.4161,114.57072222222222,74
Constant current charge,2689,5499.25,3.4223,122.20846666666667,79
Constant current charge,2689,5499.25,3.4278,129.84673333333333,84
Constant current charge,2689,5500.74,3.4331,137.4853,89
Constant current charge,2689,5499.62,3.4378,145.12335555555555,94
Constant current charge,2689,5499.62,3.4427,152.76132222222222,99
Constant current charge,2689,5500.74,3.4468,160.40102222222222,104
Constant current charge,2689,5498.88,3.4508,168.03866666666667,109
Constant current charge,2689,5499.25,3.4545,175.6766111111111,114
Constant current charge,2689,5500.74,3.4582,183.3154888888889,119
Constant current charge,2689,5499.25,3.4613,190.95344444444444,124
Constant current charge,2689,5500.74,3.4647,198.5921111111111,129
Constant current charge,2689,5499.25,3.4678,206.22997777777778,134
Constant current charge,2689,5499.25,3.4706,213.86824444444446,139
Constant current charge,2689,5498.51,3.4734,221.5064,144
Constant current charge,2689,5499.62,3.4759,229.14464444444445,149
Constant current charge,2689,5499.62,3.4784,236.7831111111111,154
Constant current charge,2689,5499.25,3.4809,244.42126666666667,159
Constant current charge,2689,5500.37,3.483,252.0595111111111,164
Constant current charge,2689,5499.25,3.4852,259.6970888888889,169
Constant current charge,2689,5499.62,3.4877,267.3353333333333,174
Constant current charge,2689,5499.25,3.4895,274.9734,179
Constant current charge,2689,5500.37,3.4914,282.6117777777778,184
Constant current charge,2689,5499.62,3.4933,290.2505111111111,189
Constant current charge,2689,5500.37,3.4954,297.88908888888886,194
Constant current charge,2689,5500.74,3.497,305.529,199
Constant current charge,2689,5498.88,3.4988,313.1664222222222,204
Constant current charge,2689,5500.74,3.5004,320.8055111111111,209
Constant current charge,2689,5500.74,3.5026,328.4449333333333,214
Constant current charge,2689,5500.74,3.5041,336.0844,219
