Status,Cycle number,Current (mA),Voltage (V),Capacity (mAh),Time (s)
Constant current charge,1,5499.25,2.7743,0.0,0
Constant current charge,1,5497.39,2.9796,7.635986111111111,4
Constant current charge,1,5498.51,3.0887,15.272383333333334,9
Constant current charge,1,5498.13,3.1581,22.90898888888889,14
Constant current charge,1,5498.51,3.2096,30.545597222222224,19
Constant current charge,1,5497.76,3.2502,38.182722222222225,24
Constant current charge,1,5498.51,3.2837,45.81859722222222,29
Constant current charge,1,5498.51,3.3119,53.45635,34
Constant current charge,1,5498.51,3.3361,61.09202777777778,39
Constant current charge,1,5498.13,3.3568,68.72852777777777,44
Constant current charge,1,5498.13,3.3733,76.36482777777778,49
Constant current charge,1,5499.62,3.3863,84.00193333333333,54
Constant current charge,1,5498.13,3.3962,91.63978888888889,59
Constant current charge,1,5498.13,3.404,99.27618888888888,64
Constant current charge,1,5498.51,3.4102,106.9129,69
Constant current charge,1,5498.13,3.4154,114.54951111111112,74
Constant current charge,1,5498.13,3.4195,122.1859,79
Constant current charge,1,5498.13,3.4235,129.8222,84
Constant current charge,1,5498.13,3.4269,137.4584888888889,89
Constant current charge,1,5498.13,3.4297,145.09498888888888,94
Constant current charge,1,5499.62,3.4328,152.73255555555556,99
Constant current charge,1,5497.76,3.4353,160.36934444444444,104
Constant current charge,1,5498.51,3.4378,168.00585555555554,109
Constant current charge,1,5498.13,3.4406,175.64163333333335,114
Constant current charge,1,5500.0,3.4427,183.27875555555556,119
Constant current charge,1,5497.39,3.4452,190.91482222222223,124
Constant current charge,1,5498.13,3.4477,198.55113333333333,129
Constant current charge,1,5497.76,3.4499,206.18784444444444,134
Constant current charge,1,5497.02,3.452,213.82322222222223,139
Constant current charge,1,5497.39,3.4542,221.4601111111111,144
Constant current charge,1,5498.13,3.4561,229.09602222222222,149
Constant current charge,1,5498.13,3.4582,236.73242222222223,154
Constant current charge,1,5498.51,3.4601,244.36891111111112,159
Constant current charge,1,5498.51,3.4619,252.00695555555555,164
Constant current charge,1,5500.0,3.4638,259.6450222222222,169
Constant current charge,1,5500.0,3.4654,267.2838,174
Constant current charge,1,5500.0,3.4669,274.92235555555555,179
Constant current charge,1,5498.13,3.4685,282.5598,184
Constant current charge,1,5498.13,3.47,290.19631111111113,189
Constant current charge,1,5498.13,3.4712,297.8325777777778,194
Constant current charge,1,5497.02,3.4728,305.46846666666664,199
Constant current charge,1,5496.65,3.474,313.1032222222222,204
Constant current charge,1,5496.65,3.475,320.73777777777775,209
Constant current charge,1,5498.13,3.4762,328.37322222222224,214
Constant current charge,1,5498.51,3.4774,336.00964444444446,219
