Status,Cycle number,Current (mA),Voltage (V),Capacity (mAh),Time (s)
Constant current charge,1142,5499.62,2.7923,0.0,0
Constant current charge,1142,5497.76,3.022,7.637638888888889,4
Constant current charge,1142,5498.51,3.1411,15.273627777777778,9
Constant current charge,1142,5499.25,3.2158,22.910652777777777,14
Constant current charge,1142,5498.13,3.2697,30.54839722222222,19
Constant current charge,1142,5498.51,3.3113,38.18438888888889,24
Constant current charge,1142,5498.51,3.3441,45.82120555555556,29
Constant current charge,1142,5498.51,3.3689,53.45905555555556,34
Constant current charge,1142,5497.39,3.3866,61.09493333333333,39
Constant current charge,1142,5498.51,3.3984,68.73102222222222,44
Constant current charge,1142,5498.51,3.408,76.36784444444444,49
Constant current charge,1142,5497.76,3.4157,84.00527777777778,54
Constant current charge,1142,5498.51,3.4219,91.64189444444445,59
Constant current charge,1142,5498.13,3.4285,99.27912222222223,64
Constant current charge,1142,5498.13,3.4343,106.91634444444445,69
Constant current charge,1142,5498.51,3.4396,114.55254444444445,74
Constant current charge,1142,5499.62,3.4446,122.19028888888889,79
Constant current charge,1142,5498.51,3.4492,129.8264888888889,84
Constant current charge,1142,5499.62,3.4536,137.46401111111112,89
Constant current charge,1142,5497.76,3.4582,145.10042222222222,94
Constant current charge,1142,5498.51,3.4623,152.7371222222222,99
Constant current charge,1142,5497.39,3.4657,160.37404444444445,104
Constant current charge,1142,5499.25,3.4691,168.01086666666666,109
Constant current charge,1142,5498.51,3.4725,175.64808888888888,114
Constant current charge,1142,5499.62,3.4753,183.28573333333333,119
Constant current charge,1142,5497.39,3.4784,190.92222222222222,124
Constant current charge,1142,5499.25,3.4812,198.55915555555555,129
Constant current charge,1142,5497.39,3.4833,206.19626666666667,134
Constant current charge,1142,5498.51,3.4861,213.8328888888889,139
Constant current charge,1142,5497.76,3.488,221.47022222222222,144
Constant current charge,1142,5498.51,3.4902,229.10662222222223,149
Constant current charge,1142,5498.13,3.492,236.74384444444445,154
Constant current charge,1142,5498.51,3.4939,244.38015555555555,159
Constant current charge,1142,5499.62,3.4957,252.01788888888888,164
Constant current charge,1142,5498.51,3.4973,259.6544,169
Constant current charge,1142,5498.51,3.4985,267.29195555555555,174
Constant current charge,1142,5499.25,3.5001,274.92915555555555,179
Constant current charge,1142,5500.0,3.5019,282.56795555555556,184
Constant current charge,1142,5497.76,3.5032,290.2051777777778,189
Constant current charge,1142,5498.51,3.5047,297.84084444444443,194
Constant current charge,1142,5498.51,3.506,305.47766666666666,199
Constant current charge,1142,5498.13,3.5072,313.11535555555554,204
Constant current charge,1142,5498.51,3.5088,320.7516,209
Constant current charge,1142,5499.25,3.51,328.38944444444445,214
Constant current charge,1142,5498.51,3.5112,336.02555555555557,219
Constant current charge,1142,5500.0,3.5122,343.66297777777777,224
Constant current charge,1142,5497.39,3.5134,351.29931111111114,229
Constant current charge,1142,5498.51,3.5146,358.9359111111111,234
Constant current charge,1142,5498.51,3.5162,366.5736444444444,239
Constant current charge,1142,5498.51,3.5174,374.20973333333336,244
Constant current charge,1142,5499.62,3.5187,381.8468888888889,249
Constant current charge,1142,5497.76,3.5199,389.4839111111111,254
Constant current charge,1142,5498.51,3.5215,397.1202222222222,259
