,cell,cyc,soc_label,mode_label,capacity,c1_1_mean_v,c1_2_var_v,c1_3_skew_v,c1_4_kurt_v,c1_5_mean_t,c1_6_delta_t,c1_7_dtdt,c1_8_mean_i,c1_9_var_i,c1_10_ent_v,c1_11_ent_t,c1_12_corr_vi,c1_13_corr_vt,c1_14_de_dq,c1_15_power_var,c2_dis_1,c3_cha_1,c2_dis_2,c3_cha_2,c2_dis_3,c3_cha_3,c2_dis_4,c3_cha_4,c2_dis_5,c3_cha_5,c2_dis_6,c3_cha_6,c2_dis_7,c3_cha_7,c2_dis_8,c3_cha_8,c2_dis_9,c3_cha_9,c2_dis_10,c3_cha_10,c2_dis_11,c3_cha_11,c2_dis_12,c3_cha_12,c2_dis_13,c3_cha_13,c2_dis_14,c3_cha_14,c2_dis_15,c3_cha_15,SOC,Mode,Scenario
0,10-8,2,-2,0,1.1853562222222223,3.2536048889160156,0.0014433582546189427,5.148679053936172,29.787946711347047,25.0,0.0,0.0,2.2003445625305176,1.8061617979014954e-08,-107.75615745592731,-23.02572594687052,0.05693478720162372,0.0,3.2497987805238653,0.0069929989986121655,-0.0008194808615371585,0.0,1.367809727526037e-05,0.0,7.957890920806676e-05,0.0,102.7588119506836,0.0,0.0,0.0,0.7627381727430556,0.0,0.23470319959852431,0.0,-1.3407834768295288,0.0,36.615333557128906,0.0,0.9189170876779934,0.0,0.0,0.0,0.031720951199531555,0.0,567.1485755752476,0.0,-0.3000189883262261,0.0,3.2414752826517477,0.0,H(100-70%),Discharge,Discharge_H(100-70%)
1,10-8,2,-2,0,1.1853562222222223,3.232001304626465,6.739435048075393e-05,-0.03552797477074673,-1.20704543392889,25.0,0.0,0.0,2.2003376483917236,1.600171017912544e-08,-1260.7343494192392,-23.02572594687052,-0.0565910082969753,0.0,3.2318213691343067,0.0003256150521337986,-7.35059948056005e-05,0.0,7.423194836597702e-10,0.0,0.0,0.0,5.420464992523193,0.0,0.0,0.0,0.7604923502604166,0.0,0.23531385633680554,0.0,-0.12026457488536835,0.0,0.00198730593547225,0.0,0.991281062103482,0.0,0.0,0.0,0.001641273614950478,0.0,565.4816359937427,0.0,-0.11928436880550258,0.0,3.2272010551404438,0.0,H(100-70%),Discharge,Discharge_H(100-70%)
2,10-8,2,-2,0,1.1853562222222223,3.244035005569458,0.0011513179633766413,5.471670155494842,37.236614923162165,25.0,0.0,0.0,2.2003414630889893,1.6066207919607223e-08,-89.69613966008089,-23.02572594687052,0.06016022950763613,0.0,3.2414110991544223,0.005578399635851383,-0.0005691378028132021,0.0,9.203481567965355e-06,0.0,5.2452214731602e-05,0.0,159.79730224609375,0.0,0.0,0.0,1.1470966254340278,0.0,0.3538880411783854,0.0,-0.9311876893043518,0.0,24.637081146240234,0.0,0.9147663525185362,0.0,0.0,0.0,0.03268163278698921,0.0,852.9478366359631,0.0,-0.20047798283839913,0.0,3.2319464877292394,0.0,H(100-70%),Discharge,Discharge_H(100-70%)
3,10-8,3,-2,0,1.1847459555555555,3.2544450759887695,0.0014374948805198073,5.147684947784787,29.7872211864281,25.0,0.0,0.0,2.2003540992736816,1.0516582271691277e-08,-106.70991466984347,-23.02572594687052,-0.04570685288728364,0.0,3.2506463314479204,0.0069571384228765965,-0.0008177272393368185,0.0,1.3621373909700196e-05,0.0,7.932885637274012e-05,0.0,102.54857635498047,0.0,0.0,0.0,0.7629412841796875,0.0,0.2347044881184896,0.0,-1.3378963470458984,0.0,36.462825775146484,0.0,0.9190945953216402,0.0,0.0,0.0,0.03210562467575073,0.0,567.2940206004299,0.0,-0.2998844851983054,0.0,3.2423203784363093,0.0,H(100-70%),Discharge,Discharge_H(100-70%)
4,10-8,3,-2,0,1.1847459555555555,3.232788324356079,6.847610347904265e-05,-0.026599235167892924,-1.1965014935255502,25.0,0.0,0.0,2.2003445625305176,1.2748000877138566e-08,-1267.0237897038562,-23.02572594687052,0.12664138199034802,0.0,3.2326072129482317,0.00033334502950310707,-7.32465268811211e-05,0.0,9.93393700632339e-10,0.0,3.590110522234957e-14,0.0,5.464479446411133,0.0,0.0,0.0,0.7606789143880208,0.0,0.23531436496310765,0.0,-0.11983880400657654,0.0,0.0026589997578412294,0.0,0.9913142469809361,0.0,0.0,0.0,0.0022412301041185856,0.0,565.617277572333,0.0,-0.12024212142764286,0.0,3.2279501917679503,0.0,H(100-70%),Discharge,Discharge_H(100-70%)
5,10-8,3,-2,0,1.1847459555555555,3.2448387145996094,0.0011488370364531875,5.458253111241464,37.11861580946602,25.0,0.0,0.0,2.200347900390625,1.1716655201610138e-08,-89.98382251479737,-23.02572594687052,0.005479044373226588,0.0,3.242219175269521,0.005562454927712679,-0.0005678014713339508,0.0,9.165393748844508e-06,0.0,5.246085856924765e-05,0.0,159.50308227539062,0.0,0.0,0.0,1.1473868815104167,0.0,0.3538893636067708,0.0,-0.9289887547492981,0.0,24.534685134887695,0.0,0.9149726125542298,0.0,0.0,0.0,0.03308648243546486,0.0,853.1579318417344,0.0,-0.2008578216749242,0.0,3.232727318001211,0.0,H(100-70%),Discharge,Discharge_H(100-70%)
6,10-8,4,-2,0,1.1841308222222224,3.2550883293151855,0.0014151938958093524,5.15010179992878,29.778683854281596,25.0,0.0,0.0,2.200324535369873,3.3456565518008574e-08,-109.17462727681334,-23.02572594687052,-0.08636637351012147,0.0,3.2513198079130756,0.006842734757810831,-0.0008110392955131829,0.0,1.33307157739182e-05,0.0,7.823680789442733e-05,0.0,101.71412658691406,0.0,0.0,0.0,0.7630898708767361,0.0,0.23470157199435765,0.0,-1.3269485235214233,0.0,35.684696197509766,0.0,0.9196857273074144,0.0,0.0,0.0,0.03113122098147869,0.0,567.4190349233946,0.0,-0.2968398237452257,0.0,3.243087212504422,0.0,H(100-70%),Discharge,Discharge_H(100-70%)
7,10-8,4,-2,0,1.1841308222222224,3.233613967895508,6.811274943174794e-05,-0.035323346474015506,-1.1987356798815867,25.0,0.0,0.0,2.2003173828125,4.188029123497472e-08,-1266.4420167971448,-23.02572594687052,0.07748987885855942,0.0,3.2334356790796055,0.00033205212093889713,-7.324713806156069e-05,0.0,8.686358299314634e-10,0.0,-1.254504278236368e-10,0.0,5.376518249511719,0.0,0.0,0.0,0.7608643256293403,0.0,0.23531141493055555,0.0,-0.11984206736087799,0.0,0.0023253692779690027,0.0,0.9913157786359265,0.0,0.0,0.0,0.002321195788681507,0.0,565.769229693119,0.0,-0.11992425024234099,0.0,3.228788408059094,0.0,H(100-70%),Discharge,Discharge_H(100-70%)
8,10-8,4,-2,0,1.1841308222222224,3.2455480098724365,0.001131458324380219,5.457651302229154,37.08690240335565,25.0,0.0,0.0,2.2003166675567627,3.309629903469613e-08,-90.55140974852193,-23.02572594687052,-0.03022353946919707,0.0,3.242949033628649,0.005475078243762255,-0.0005635348497889936,0.0,8.970076123659965e-06,0.0,5.180864900466986e-05,0.0,158.21214294433594,0.0,0.0,0.0,1.1476296657986111,0.0,0.35388458251953125,0.0,-0.9220050573348999,0.0,24.01179313659668,0.0,0.9155335078364559,0.0,0.0,0.0,0.03243175148963928,0.0,853.3621087060311,0.0,-0.19922408320850063,0.0,3.2335350987108864,0.0,H(100-70%),Discharge,Discharge_H(100-70%)
9,10-8,5,-2,0,1.183523511111111,3.255500316619873,0.0014270818792283535,5.193535772612842,30.28070263317357,25.0,0.0,0.0,2.2002811431884766,4.4671331522749824e-08,-108.0577231729734,-23.02572594687052,0.13138745898720677,0.0,3.251701222883972,0.006925259716808796,-0.0008185714832507074,0.0,1.3865002983948216e-05,0.0,8.023687405511737e-05,0.0,102.64281463623047,0.0,0.0,0.0,0.7631622992621527,0.0,0.23469631618923611,0.0,-1.3393040895462036,0.0,37.11573028564453,0.0,0.9191244858595556,0.0,0.0,0.0,0.032171059399843216,0.0,567.4968558499216,0.0,-0.29647738081825986,0.0,3.2435139852556714,0.0,H(100-70%),Discharge,Discharge_H(100-70%)
10,10-8,5,-2,0,1.183523511111111,3.2341039180755615,6.699318328173831e-05,-0.03266476100902627,-1.2129702271097365,25.0,0.0,0.0,2.200307846069336,3.618943011929332e-08,-1285.1371303845544,-23.02572594687052,-0.11808092599560527,0.0,3.2339274593263094,0.0003221042570658028,-7.246748282341287e-05,0.0,9.04283370406489e-10,0.0,-1.5798372032804764e-07,0.0,5.302487373352051,0.0,0.0,0.0,0.7609801567925347,0.0,0.2353114488389757,0.0,-0.11856608837842941,0.0,0.0024207355454564095,0.0,0.9914090057084972,0.0,0.0,0.0,0.002140951110050082,0.0,565.8578958191528,0.0,-0.11893034415608748,0.0,3.2293178389760793,0.0,H(100-70%),Discharge,Discharge_H(100-70%)
11,10-8,5,-2,0,1.183523511111111,3.246002435684204,0.0011375844478607178,5.518120800222447,37.84186629406511,25.0,0.0,0.0,2.200305700302124,3.8344349917451837e-08,-90.25979661497915,-23.02572594687052,0.04187203065797554,0.0,3.243384337147147,0.0055123744532465935,-0.0005685345968231559,0.0,9.32722286961507e-06,0.0,5.292169953463599e-05,0.0,159.58132934570312,0.0,0.0,0.0,1.1477760145399305,0.0,0.3538822089301215,0.0,-0.9302060604095459,0.0,24.9683895111084,0.0,0.9149755702136475,0.0,0.0,0.0,0.033231306821107864,0.0,853.4809258849369,0.0,-0.19857478692904465,0.0,3.2340288713113035,0.0,H(100-70%),Discharge,Discharge_H(100-70%)
12,10-8,6,-2,0,1.1829092444444445,3.2557156085968018,0.0014070395845919847,5.164591486598918,29.949369068004756,25.0,0.0,0.0,2.200364351272583,9.020979518936656e-09,-109.48295713771053,-23.02572594687052,-0.08671540135805914,0.0,3.251952302710797,0.006807803176343441,-0.0008096753736026585,0.0,1.3383171790337656e-05,0.0,7.859210745664313e-05,0.0,101.58629608154297,0.0,0.0,0.0,0.7632512749565972,0.0,0.23470555623372397,0.0,-1.3247219324111938,0.0,35.82517623901367,0.0,0.9198632299641931,0.0,0.0,0.0,0.03134606406092644,0.0,567.5192781676732,0.0,-0.29574472566772886,0.0,3.2437575758849144,0.0,H(100-70%),Discharge,Discharge_H(100-70%)
13,10-8,6,-2,0,1.1829092444444445,3.234328031539917,6.734274211339653e-05,-0.03158938246590083,-1.203803748651011,25.0,0.0,0.0,2.200366497039795,1.02375707911051e-08,-1283.9025144582074,-23.02572594687052,0.11875838176666204,0.0,3.234150523832175,0.0003275639610365033,-7.246748282341287e-05,0.0,6.861529122659249e-10,0.0,-1.254456399868431e-10,0.0,5.331964492797852,0.0,0.0,0.0,0.7610506863064236,0.0,0.23531702677408853,0.0,-0.11856316030025482,0.0,0.0018365667201578617,0.0,0.9914097990278067,0.0,0.0,0.0,0.0019609928131103516,0.0,565.88186880791,0.0,-0.11924463653855151,0.0,3.2295298698065467,0.0,H(100-70%),Discharge,Discharge_H(100-70%)
