,cell,cyc,soc_label,mode_label,capacity,c1_1_mean_v,c1_2_var_v,c1_3_skew_v,c1_4_kurt_v,c1_5_mean_t,c1_6_delta_t,c1_7_dtdt,c1_8_mean_i,c1_9_var_i,c1_10_ent_v,c1_11_ent_t,c1_12_corr_vi,c1_13_corr_vt,c1_14_de_dq,c1_15_power_var,c2_dis_1,c3_cha_1,c2_dis_2,c3_cha_2,c2_dis_3,c3_cha_3,c2_dis_4,c3_cha_4,c2_dis_5,c3_cha_5,c2_dis_6,c3_cha_6,c2_dis_7,c3_cha_7,c2_dis_8,c3_cha_8,c2_dis_9,c3_cha_9,c2_dis_10,c3_cha_10,c2_dis_11,c3_cha_11,c2_dis_12,c3_cha_12,c2_dis_13,c3_cha_13,c2_dis_14,c3_cha_14,c2_dis_15,c3_cha_15,SOC,Mode,Scenario
0,10-2,2,-2,0,1.1868283111111109,3.183438539505005,0.0014407045673578978,5.209888540306945,28.996656730822117,25.0,0.0,0.0,3.300255298614502,2.7697820925709493e-08,-121.22563206866297,-23.02572594687052,-0.31923283515758094,0.0,3.17832476671145,0.015646619722247124,-0.0011628441279754043,0.0,2.7785199563368224e-05,0.0,0.0001466600369894877,0.0,62.50312423706055,0.0,0.0,0.0,0.7400790744357639,0.0,0.23285193549262154,0.0,-1.2684621810913086,0.0,33.062225341796875,0.0,0.9241323697846654,0.0,0.0,0.0,0.03862566873431206,0.0,244.61569695899703,0.0,-0.2881650820712255,0.0,3.171690154655594,0.0,H(100-70%),Discharge,Discharge_H(100-70%)
1,10-2,2,-2,0,1.1868283111111109,3.164153575897217,3.8968206354184076e-05,-0.06909190989930884,-1.1858201903601358,25.0,0.0,0.0,3.300262451171875,2.977386515112812e-08,-1768.2915174098346,-23.02572594687052,-0.011383663027749439,0.0,3.1639490322157133,0.00042448018211871386,-8.509766485076398e-05,0.0,1.14262255213049e-09,0.0,-1.6002643121737492e-07,0.0,2.7159738540649414,0.0,0.0,0.0,0.7396320936414931,0.0,0.23376864963107638,0.0,-0.09282662719488144,0.0,0.0013596514472737908,0.0,0.9931642098722975,0.0,0.0,0.0,0.0021605014335364103,0.0,244.46745502982563,0.0,-0.09069312276499043,0.0,3.1604808089077707,0.0,H(100-70%),Discharge,Discharge_H(100-70%)
2,10-2,2,-2,0,1.1868283111111109,3.1752126216888428,0.0010994168696925044,5.824967748155137,39.15074687019113,25.0,0.0,0.0,3.30025315284729,2.8738581292486742e-08,-108.93966804532654,-23.02572594687052,-0.2413650825648633,0.0,3.1717016699375535,0.01194422785192728,-0.0008005847921594977,0.0,1.866100137704052e-05,0.0,9.617114847060293e-05,0.0,97.0361328125,0.0,0.0,0.0,1.1165264892578124,0.0,0.352027587890625,0.0,-0.8733000159263611,0.0,22.205135345458984,0.0,0.9207157387824105,0.0,0.0,0.0,0.039865829050540924,0.0,369.0423638128686,0.0,-0.18094030932944652,0.0,3.1642406560627605,0.0,H(100-70%),Discharge,Discharge_H(100-70%)
3,10-2,3,-2,0,1.1886686666666666,3.1845250129699707,0.0014272592961788177,5.2271089750974005,29.162777896851118,25.0,0.0,0.0,3.3003692626953125,5.402834091228215e-08,-121.65782392664924,-23.02572594687052,0.11934259339254395,0.0,3.1794298023077805,0.015570352785289288,-0.0011600978905335069,0.0,2.776401561277453e-05,0.0,0.0001464200613554567,0.0,62.298606872558594,0.0,0.0,0.0,0.7403592936197917,0.0,0.23285914103190103,0.0,-1.2654424905776978,0.0,33.03653335571289,0.0,0.9243434802973777,0.0,0.0,0.0,0.038325633853673935,0.0,244.69230147922184,0.0,-0.2858992765142678,0.0,3.172868556782493,0.0,H(100-70%),Discharge,Discharge_H(100-70%)
4,10-2,3,-2,0,1.1886686666666666,3.1653709411621094,3.8395482988562435e-05,-0.06178885632592352,-1.205855336588475,25.0,0.0,0.0,3.3003122806549072,5.2002931738570624e-08,-1865.1730512701379,-23.02572594687052,0.18368285303838408,0.0,3.165172679573669,0.0004241668211761862,-8.156813419191167e-05,0.0,1.048126918590242e-09,0.0,-7.2759574515531e-14,0.0,2.6334798336029053,0.0,0.0,0.0,0.7399279106987847,0.0,0.23377173529730902,0.0,-0.08897504955530167,0.0,0.001247080392204225,0.0,0.9934495766780949,0.0,0.0,0.0,0.0019998550415039062,0.0,244.5583039906213,0.0,-0.0900301928302467,0.0,3.1617256290314937,0.0,H(100-70%),Discharge,Discharge_H(100-70%)
5,10-2,3,-2,0,1.1886686666666666,3.176353931427002,0.0010885479860007763,5.84609634928667,39.39341133316651,25.0,0.0,0.0,3.3003387451171875,4.737254144515646e-08,-110.51438476318468,-23.02572594687052,0.1612263219544657,0.0,3.172855910335223,0.01188268419355154,-0.0007966881385073066,0.0,1.8648544937605038e-05,0.0,9.64868304436095e-05,0.0,96.7081069946289,0.0,0.0,0.0,1.1169589572482639,0.0,0.35203582763671876,0.0,-0.8690333366394043,0.0,22.18998146057129,0.0,0.921160714698232,0.0,0.0,0.0,0.039505235850811005,0.0,369.16709343553526,0.0,-0.17960146363764212,0.0,3.16546256114494,0.0,H(100-70%),Discharge,Discharge_H(100-70%)
6,10-2,4,-2,0,1.1898938666666665,3.1862502098083496,0.0014081528643146157,5.258014845138441,29.45603494455206,25.0,0.0,0.0,3.300276279449463,2.143560493550467e-07,-122.34090275088379,-23.02572594687052,-0.17351668907849546,0.0,3.1811781847843283,0.01527468953281641,-0.0011558829573914409,0.0,2.779017449938692e-05,0.0,0.00014652000390924513,0.0,62.03200149536133,0.0,0.0,0.0,0.7407472737630209,0.0,0.23285312228732638,0.0,-1.2611329555511475,0.0,33.08372116088867,0.0,0.9246800202329973,0.0,0.0,0.0,0.03835023567080498,0.0,244.83384996667502,0.0,-0.28216465262656926,0.0,3.1747462951778913,0.0,H(100-70%),Discharge,Discharge_H(100-70%)
7,10-2,4,-2,0,1.1898938666666665,3.167259693145752,3.8839738408569247e-05,-0.07445015280635885,-1.179525872409438,25.0,0.0,0.0,3.3003334999084473,1.3514990371277236e-07,-1801.3846842704588,-23.02572594687052,-0.122833280913258,0.0,3.1670554157453794,0.0004185137222521007,-8.392146992264315e-05,0.0,1.2239421698367892e-09,0.0,-1.5983579260137049e-07,0.0,2.7145111560821533,0.0,0.0,0.0,0.7403744845920139,0.0,0.23377376980251735,0.0,-0.09154226630926132,0.0,0.001456553116440773,0.0,0.9932652648769474,0.0,0.0,0.0,0.002240467118099332,0.0,244.7021655065087,0.0,-0.09053304258429054,0.0,3.163593088207664,0.0,H(100-70%),Discharge,Discharge_H(100-70%)
8,10-2,4,-2,0,1.1898938666666665,3.178124189376831,0.0010744375176727772,5.873683187607777,39.73086051099805,25.0,0.0,0.0,3.300305128097534,1.7642794603034417e-07,-111.00757606399816,-23.02572594687052,-0.18037175325433008,0.0,3.1746431807901794,0.011651151813566685,-0.0007944154203869402,0.0,1.866319144028239e-05,0.0,9.639486961532384e-05,0.0,96.2905044555664,0.0,0.0,0.0,1.1175786675347221,0.0,0.3520328436957465,0.0,-0.8667441010475159,0.0,22.218198776245117,0.0,0.9214395776372014,0.0,0.0,0.0,0.039630498737096786,0.0,369.3787979160264,0.0,-0.1780368783052202,0.0,3.1673280882192496,0.0,H(100-70%),Discharge,Discharge_H(100-70%)
9,10-2,5,-2,0,1.1917252444444446,3.1789448261260986,0.0010505846003070474,5.825069842722545,39.19366262064086,25.0,0.0,0.0,3.3002991676330566,2.045037064135613e-07,-112.29923582413376,-23.02572594687052,0.011822587518648158,0.0,3.175511910209647,0.011448360048234463,-0.0007825972861610353,0.0,1.7877684513223357e-05,0.0,9.431581565877423e-05,0.0,94.88191223144531,0.0,0.0,0.0,1.1178820122612847,0.0,0.35203206380208335,0.0,-0.8536345362663269,0.0,21.2722225189209,0.0,0.9224563627296013,0.0,0.0,0.0,0.03852088004350662,0.0,369.48044128338387,0.0,-0.17743230121918105,0.0,3.1681848339379273,0.0,H(100-70%),Discharge,Discharge_H(100-70%)
