,cell,cyc,soc_label,mode_label,capacity,c1_15_power_var,SOC,Mode,Scenario,,,,
0,b1c0,2,-2,0,1.0706892,4.766728401,H(100-70%),Discharge,Discharge_H(100-70%),,,,
1,b1c0,2,-2,0,1.0706892,0.001410055,H(100-70%),Discharge,Discharge_H(100-70%),,,행 레이블,합계 : c1_15_power_var
2,b1c0,2,-2,0,1.0706892,3.562114716,H(100-70%),Discharge,Discharge_H(100-70%),,,2,8.330253172
3,b1c0,7,-2,0,1.0739917,5.667217731,H(100-70%),Discharge,Discharge_H(100-70%),,,7,10.10004392
4,b1c0,7,-2,0,1.0739917,0.001584675,H(100-70%),Discharge,Discharge_H(100-70%),,,14,8.135266422
5,b1c0,7,-2,0,1.0739917,4.431241512,H(100-70%),Discharge,Discharge_H(100-70%),,,19,8.084029358
6,b1c0,14,-2,0,1.0750562,4.581690311,H(100-70%),Discharge,Discharge_H(100-70%),,,24,11.08814297
7,b1c0,14,-2,0,1.0750562,0.001627802,H(100-70%),Discharge,Discharge_H(100-70%),,,29,8.099913287
8,b1c0,14,-2,0,1.0750562,3.551948309,H(100-70%),Discharge,Discharge_H(100-70%),,,34,8.173617925
9,b1c0,19,-2,0,1.0761871,4.669418812,H(100-70%),Discharge,Discharge_H(100-70%),,,39,7.93768758
10,b1c0,19,-2,0,1.0761871,0.001558941,H(100-70%),Discharge,Discharge_H(100-70%),,,44,7.335035134
11,b1c0,19,-2,0,1.0761871,3.413051605,H(100-70%),Discharge,Discharge_H(100-70%),,,49,8.598655652
12,b1c0,24,-2,0,1.0754509,6.173304081,H(100-70%),Discharge,Discharge_H(100-70%),,,54,7.96278926
13,b1c0,24,-2,0,1.0754509,0.001640413,H(100-70%),Discharge,Discharge_H(100-70%),,,59,7.951722325
14,b1c0,24,-2,0,1.0754509,4.913198471,H(100-70%),Discharge,Discharge_H(100-70%),,,64,8.147421202
15,b1c0,29,-2,0,1.0764797,3.469477654,H(100-70%),Discharge,Discharge_H(100-70%),,,69,8.193133294
16,b1c0,29,-2,0,1.0764797,0.001345802,H(100-70%),Discharge,Discharge_H(100-70%),,,74,8.199051374
17,b1c0,29,-2,0,1.0764797,4.629089832,H(100-70%),Discharge,Discharge_H(100-70%),,,79,8.396035265
18,b1c0,34,-2,0,1.0766319,4.607762337,H(100-70%),Discharge,Discharge_H(100-70%),,,84,8.189489528
19,b1c0,34,-2,0,1.0766319,0.001503076,H(100-70%),Discharge,Discharge_H(100-70%),,,89,8.506780608
20,b1c0,34,-2,0,1.0766319,3.564352512,H(100-70%),Discharge,Discharge_H(100-70%),,,94,8.216554691
21,b1c0,39,-2,0,1.0766507,4.446755409,H(100-70%),Discharge,Discharge_H(100-70%),,,99,8.029592863
22,b1c0,39,-2,0,1.0766507,0.001574461,H(100-70%),Discharge,Discharge_H(100-70%),,,104,8.669242116
23,b1c0,39,-2,0,1.0766507,3.48935771,H(100-70%),Discharge,Discharge_H(100-70%),,,109,8.253050052
24,b1c0,44,-2,0,1.0768414,3.221174479,H(100-70%),Discharge,Discharge_H(100-70%),,,114,8.358303353
25,b1c0,44,-2,0,1.0768414,0.001552631,H(100-70%),Discharge,Discharge_H(100-70%),,,119,9.338298855
26,b1c0,44,-2,0,1.0768414,4.112308025,H(100-70%),Discharge,Discharge_H(100-70%),,,124,7.877016436
27,b1c0,49,-2,0,1.0768253,4.852499962,H(100-70%),Discharge,Discharge_H(100-70%),,,129,7.534384345
28,b1c0,49,-2,0,1.0768253,0.001450967,H(100-70%),Discharge,Discharge_H(100-70%),,,134,8.280023458
29,b1c0,49,-2,0,1.0768253,3.744704723,H(100-70%),Discharge,Discharge_H(100-70%),,,139,7.856725828
30,b1c0,54,-2,0,1.076785,4.48961401,H(100-70%),Discharge,Discharge_H(100-70%),,,144,8.38667714
31,b1c0,54,-2,0,1.076785,0.001588307,H(100-70%),Discharge,Discharge_H(100-70%),,,149,50.79669284
32,b1c0,54,-2,0,1.076785,3.471586943,H(100-70%),Discharge,Discharge_H(100-70%),,,154,8.001996315
33,b1c0,59,-2,0,1.0752628,3.471442223,H(100-70%),Discharge,Discharge_H(100-70%),,,159,9.286942031
34,b1c0,59,-2,0,1.0752628,0.001575649,H(100-70%),Discharge,Discharge_H(100-70%),,,164,8.358688887
35,b1c0,59,-2,0,1.0752628,4.478704453,H(100-70%),Discharge,Discharge_H(100-70%),,,169,8.116162049
36,b1c0,64,-2,0,1.0769807,4.617373943,H(100-70%),Discharge,Discharge_H(100-70%),,,174,8.529431897
37,b1c0,64,-2,0,1.0769807,0.001568874,H(100-70%),Discharge,Discharge_H(100-70%),,,179,7.542219251
38,b1c0,64,-2,0,1.0769807,3.528478384,H(100-70%),Discharge,Discharge_H(100-70%),,,184,7.236133189
39,b1c0,69,-2,0,1.0766476,4.58911562,H(100-70%),Discharge,Discharge_H(100-70%),,,189,8.172375409
